tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taijit
khang-ui-hong,空威風,16,khang-ui-hong,khang1ui1hong1,khang1ui1hong1,khanguihong,khanguihong,kuh,kuh,True
khang-hú-tē,空府第,16,khang-hú-tē,khang1hu2te7,khang1hu2te7,khanghute,khanghute,kht,kht,True
khang-sim-tshài,空心菜,16,khang-sim-chhài,khang1sim1tshai3,khang1sim1chhai3,khangsimtshai,khangsimchhai,kst,ksc,True
khang-sim-luî,空心雷,16,khang-sim-lûi,khang1sim1lui5,khang1sim1lui5,khangsimlui,khangsimlui,ksl,ksl,True
khang-so-so,空搔搔,16,khang-so-so,khang1so1so1,khang1so1so1,khangsoso,khangsoso,kss,kss,True
khang-khak-jī,空殼字,16,khang-khak-jī,khang1khak4ji7,khang1khak4ji7,khangkhakji,khangkhakji,kkj,kkj,True
khang-khak-tshiū,空殼樹,16,khang-khak-chhiū,khang1khak4tshiu7,khang1khak4chhiu7,khangkhaktshiu,khangkhakchhiu,kkt,kkc,True
khang-khak-lé,空殼禮,16,khang-khak-lé,khang1khak4le2,khang1khak4le2,khangkhakle,khangkhakle,kkl,kkl,True
khang-khak-hiû,空殼裘,16,khang-khak-hiû,khang1khak4hiu5,khang1khak4hiu5,khangkhakhiu,khangkhakhiu,kkh,kkh,True
khang-khak-piánn,空殼餅,16,khang-khak-piáⁿ,khang1khak4piann2,khang1khak4piann2,khangkhakpiann,khangkhakpiann,kkp,kkp,True
khong-khì-tsím,空氣枕,16,khong-khì-chím,khong1khi3tsim2,khong1khi3chim2,khongkhitsim,khongkhichim,kkt,kkc,True
khong-khì-tshìng,空氣銃,16,khong-khì-chhèng,khong1khi3tshing3,khong1khi3chheng3,khongkhitshing,khongkhichheng,kkt,kkc,True
khang-âm-tik,空涵竹,16,khang-âm-tek,khang1am5tik4,khang1am5tek4,khangamtik,khangamtek,kat,kat,True
khang-long-long,空瓏瓏,16,khang-long-long,khang1long1long1,khang1long1long1,khanglonglong,khanglonglong,kll,kll,True
khang-tshìng-tsí,空銃子,16,khang-chhèng-chí,khang1tshing3tsi2,khang1chheng3chi2,khangtshingtsi,khangchhengchi,ktt,kcc,True
khang-kuán-tuē,空館地,16,khang-koán-tōe,khang1kuan2tue7,khang1koan2toe7,khangkuantue,khangkoantoe,kkt,kkt,True
tshia-sái-thâng,穿屎蟲,16,chhia-sái-thâng,tshia1sai2thang5,chhia1sai2thang5,tshiasaithang,chhiasaithang,tst,cst,True
tshng-suann-kah,穿山甲,16,chhng-soaⁿ-kah,tshng1suann1kah4,chhng1soann1kah4,tshngsuannkah,chhngsoannkah,tsk,csk,True
tshuan-san-kah,穿山甲,16,chhoan-san-kah,tshuan1san1kah4,chhoan1san1kah4,tshuansankah,chhoansankah,tsk,csk,True
tshng-suann-lîng,穿山龍,16,chhng-soaⁿ-lêng,tshng1suann1ling5,chhng1soann1leng5,tshngsuannling,chhngsoannleng,tsl,csl,True
tshng-sìnn-hio̍h,穿扇葉,16,chhng-sìⁿ-hio̍h,tshng1sinn3hioh8,chhng1sinn3hioh8,tshngsinnhioh,chhngsinnhioh,tsh,csh,True
tshīng-tsháu-sann,穿草衫,16,chhēng-chháu-saⁿ,tshing7tshau2sann1,chheng7chhau2sann1,tshingtshausann,chhengchhausann,tts,ccs,True
tshng-thàu-kè,穿透過,16,chhng-thàu-kè,tshng1thau3ke3,chhng1thau3ke3,tshngthauke,chhngthauke,ttk,ctk,True
tu̍h-lâng-lān,突人玍,16,tu̍h-lâng-lān,tuh8lang5lan7,tuh8lang5lan7,tuhlanglan,tuhlanglan,tll,tll,True
tu̍h--sí,突死,16,tu̍h--sí,tuh8si2,tuh8si2,tuhsi,tuhsi,ts,ts,True
tu̍h-sinn-sí,突生死,16,tu̍h-siⁿ-sí,tuh8sinn1si2,tuh8sinn1si2,tuhsinnsi,tuhsinnsi,tss,tss,True
tu̍h--tio̍h,突着,16,tu̍h--tio̍h,tuh8tioh8,tuh8tioh8,tuhtioh,tuhtioh,tt,tt,True
tu̍h-huih-bú,突血母,16,tu̍h-huih-bú,tuh8huih4bu2,tuh8huih4bu2,tuhhuihbu,tuhhuihbu,thb,thb,True
