哽,kénn
娘,niû
島,tó
師,su
恩,in
恩,in
挨,e
挼,juê
捋,lua̍h
捏,tēnn
桃,thô
桌,toh
狹,e̍h
病,pēnn
索,soh
缺,khueh
脆,tshè
脈,me̍h
舀,iúnn
草,tshó
荒,huinn
討,thó
退,thè
配,phuè
針,tsiam
除,tî
除,tî
做,tsò
唱,tshiùnn
啄,teh
問,muī
婆,pô
張,tiunn
捥,uínn
捲,kuínn
推,the
掩,uinn
旋,tsuīnn
梅,buê
欲,bueh
清,tshing
犁,lê
章,tsiunn
笠,le̍h
粕,phoh
細,sè
莢,ngeh
蚵,ô
蛆,tshi
袋,tē
被,phuē
貨,huè
貫,kuìnn
跂,kué
軟,nuí
逐,jik
雪,seh
魚,hî
報,pò
場,tiûnn
帽,bō
掌,tsiúnn
掰,pué
揣,tshuē
晾,nê
替,thè
棗,tsó
棚,pênn
焙,puē
無,bô
煮,tsí
畫,uē
短,té
硬,ngē
稅,suè
筋,kin
絕,tse̍h
脹,tiùnn
腔,khiunn
舒,tshu
著,tio̍h
著,to̍h
街,ke
象,tshiūnn
貺,hīng
量,niû
量,niū
飯,puīnn
黃,uînn
黍,sé
傳,thuînn
傷,siunn
園,huînn
塊,tè
嫂,só
想,siūnn
損,suínn
搝,khiú
搝,giú
搣,me
搶,tshiúnn
會,ē
楗,kīng
歲,huè
溪,khe
溶,iûnn
睨,gîn
矮,é
節,tseh
經,kenn
號,hō
遇,gū
過,kuè
鉎,sian
頓,tuìnn
鼠,tshí
像,tshiūnn
僫,oh
劃,ue̍h
墓,bōng
摸,bong
暝,mê
槍,tshiunn
漲,tiùnn
算,suìnn
管,kuínn
箸,tī
粿,kué
綴,tuè
膎,kê
語,gí
說,sueh
趖,sô
踅,se̍h
遠,huīnn
酸,suinn
銀,gîn
鼻,phīnn
齊,tsê
齊,tsiâu
廠,tshiúnn
慼,tsheh
撨,tshiâu
槳,tsiúnn
槽,tsô
樟,tsiunn
樣,iūnn
漿,tsiunn
熥,thuīnn
瞌,kheh
箠,tshuê
箱,siunn
罵,mē
褒,po
諍,tsènn
豬,ti
賞,siúnn
賠,puê
靠,khò
鞋,ê
養,iúnn
餓,gō
學,o̍h
據,kì
磚,tsuinn
磨,bō
篙,ko
糕,ko
縣,kuān
褪,thuìnn
蹄,tê
醒,tshénn
鋸,kì
髻,kuè
濟,tsē
燥,sò
牆,tshiûnn
瞪,tènn
糜,muê
薄,po̍h
薑,kiunn
薯,tsî
螺,lê
謝,siā
還,hân
鍋,ue
斷,tuīnn
糧,niû
軁,nuì
轉,tuínn
醬,tsiùnn
鎖,só
雙,siang
雞,ke
題,tê
颺,tshiûnn
鵝,gô
簿,phōo
羹,kenn
關,kuainn
勸,khuìnn
寶,pó
癢,tsiūnn
襪,bue̍h
髓,tshué
鱖,kuè
讓,niū
躡,neh
鑽,tsuìnn
䖙,thenn
䖙,the
䘼,uínn
𧮙,tshoh
𠕇,tīng
𣻸,siûnn
苧,tē
丈,tiūnn
方,puinn
全,tsuînn
危,huî
后,hōo
后,hōo
灰,hue
吳,gôo
車,ki
阮,uínn
乳,jí
呵,o
尚,siūnn
居,ki
帚,tshiú
性,sènn
斧,phú
昏,huinn
果,kué
芹,khîn
迌,thô
厚,hōo
後,hōo
後,hōo
恨,hīn
指,tsíng
牲,senn
玻,po
相,siunn
屐,kia̍h
徐,tshî
殊,sû
矩,kí
釘,ting
參,som
參,som
帳,tiùnn
掃,sò
