tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,sitbut,is_variant
suann-lâi,山梨,25,soaⁿ-lâi,suann1lai5,soann1lai5,ㄙㄨㆩㄌㄞˊ,,suannlai,soannlai,ㄙㄨㆩㄌㄞ,,sl,sl,ㄙㄌ,,True,False
suann-tsang,山棕,25,soaⁿ-chang,suann1tsang1,soann1chang1,ㄙㄨㆩㄗㄤ,,suanntsang,soannchang,ㄙㄨㆩㄗㄤ,,st,sc,ㄙㄗ,,True,False
suann-tshîng,山榕,25,soaⁿ-chhêng,suann1tshing5,soann1chheng5,ㄙㄨㆩㄑㄧㄥˊ,,suanntshing,soannchheng,ㄙㄨㆩㄑㄧㄥ,,st,sc,ㄙㄑ,,True,False
suann-tshat,山漆,25,soaⁿ-chhat,suann1tshat4,soann1chhat4,ㄙㄨㆩㄘㄚㆵ,,suanntshat,soannchhat,ㄙㄨㆩㄘㄚㆵ,,st,sc,ㄙㄘ,,True,False
suann-tê,山茶,25,soaⁿ-tê,suann1te5,soann1te5,ㄙㄨㆩㄉㆤˊ,,suannte,soannte,ㄙㄨㆩㄉㆤ,,st,st,ㄙㄉ,,True,False
suann-tshinn,山菁,25,soaⁿ-chhiⁿ,suann1tshinn1,soann1chhinn1,ㄙㄨㆩㄑㆪ,,suanntshinn,soannchhinn,ㄙㄨㆩㄑㆪ,,st,sc,ㄙㄑ,,True,False
suann-kiok,山菊,25,soaⁿ-kiok,suann1kiok4,soann1kiok4,ㄙㄨㆩㄍㄧㆦㆻ,,suannkiok,soannkiok,ㄙㄨㆩㄍㄧㆦㆻ,,sk,sk,ㄙㄍ,,True,False
suann-muâ,山麻,25,soaⁿ-môa,suann1mua5,soann1moa5,ㄙㄨㆩㄇㄨㄚˊ,,suannmua,soannmoa,ㄙㄨㆩㄇㄨㄚ,,sm,sm,ㄙㄇ,,True,False
tshuan-tshit,川七,25,chhoan-chhit,tshuan1tshit4,chhoan1chhit4,ㄘㄨㄢㄑㄧㆵ,,tshuantshit,chhoanchhit,ㄘㄨㄢㄑㄧㆵ,,tt,cc,ㄘㄑ,,True,False
pa-tau,巴豆,25,pa-tau,pa1tau1,pa1tau1,ㄅㄚㄉㄠ,,patau,patau,ㄅㄚㄉㄠ,,pt,pt,ㄅㄉ,,True,False
pa-tāu,巴豆,25,pa-tāu,pa1tau7,pa1tau7,ㄅㄚㄉㄠ˫,,patau,patau,ㄅㄚㄉㄠ,,pt,pt,ㄅㄉ,,True,False
tshī-tshang,市葱,25,chhī-chhang,tshi7tshang1,chhi7chhang1,ㄑㄧ˫ㄘㄤ,,tshitshang,chhichhang,ㄑㄧㄘㄤ,,tt,cc,ㄑㄘ,,True,False
pòo-kiunn,布姜,25,pò͘-kiuⁿ,poo3kiunn1,poo3kiunn1,ㄅㆦ˪ㄍㄧㆫ,,pookiunn,pookiunn,ㄅㆦㄍㄧㆫ,,pk,pk,ㄅㄍ,,True,True
siông-san,常山,25,siông-san,siong5san1,siong5san1,ㄒㄧㆲˊㄙㄢ,,siongsan,siongsan,ㄒㄧㆲㄙㄢ,,ss,ss,ㄒㄙ,,True,False
nî-kam,年柑,25,nî-kam,ni5kam1,ni5kam1,ㄋㄧˊㄍㆰ,,nikam,nikam,ㄋㄧㄍㆰ,,nk,nk,ㄋㄍ,,True,False
kóng-á,廣仔,25,kóng-á,kong2a2,kong2a2,ㄍㆲˋㄚˋ,,konga,konga,ㄍㆲㄚ,,ka,ka,ㄍㄚ,,True,False
gōng-tshiū,戇樹,25,gōng-chhiū,gong7tshiu7,gong7chhiu7,ㆣㆲ˫ㄑㄧㄨ˫,,gongtshiu,gongchhiu,ㆣㆲㄑㄧㄨ,,gt,gc,ㆣㄑ,,True,False
tshiú-io̍h,手藥,25,chhiú-io̍h,tshiu2ioh8,chhiu2ioh8,ㄑㄧㄨˋㄧㄛㆷ̇,,tshiuioh,chhiuioh,ㄑㄧㄨㄧㄛㆷ,,ti,ci,ㄑㄧ,,True,False
pat-á,扒仔,25,pat-á,pat4a2,pat4a2,ㄅㄚㆵㄚˋ,,pata,pata,ㄅㄚㆵㄚ,,pa,pa,ㄅㄚ,,True,False
tánn-tsio,打招,25,táⁿ-chio,tann2tsio1,tann2chio1,ㄉㆩˋㄐㄧㄛ,,tanntsio,tannchio,ㄉㆩㄐㄧㄛ,,tt,tc,ㄉㄐ,,True,False
buah-tsháu,抹草,25,boah-chháu,buah4tshau2,boah4chhau2,ㆠㄨㄚㆷㄘㄠˋ,,buahtshau,boahchhau,ㆠㄨㄚㆷㄘㄠ,,bt,bc,ㆠㄘ,,True,False
iông-phoo,揚波,25,iông-pho͘,iong5phoo1,iong5phoo1,ㄧㆲˊㄆㆦ,,iongphoo,iongphoo,ㄧㆲㄆㆦ,,ip,ip,ㄧㄆ,,True,False
