tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,itaigi
tiùnn-uî,帳帷,25,tiùⁿ-ûi,tiunn3ui5,tiunn3ui5,tiunnui,tiunnui,tu,tu,True
tiùnn-bōo,帳幕,25,tiùⁿ-bō͘,tiunn3boo7,tiunn3boo7,tiunnboo,tiunnboo,tb,tb,True
tiùnn-pâng,帳房,25,tiùⁿ-pâng,tiunn3pang5,tiunn3pang5,tiunnpang,tiunnpang,tp,tp,True
tiùnn-pînn,帳棚,25,tiùⁿ-pîⁿ,tiunn3pinn5,tiunn3pinn5,tiunnpinn,tiunnpinn,tp,tp,True
tài-guân,帶原,25,tài-goân,tai3guan5,tai3goan5,taiguan,taigoan,tg,tg,True
tài-sái,帶屎,25,tài-sái,tai3sai2,tai3sai2,taisai,taisai,ts,ts,True
tài-sue,帶衰,25,tài-soe,tai3sue,tai3soe,taisue,taisoe,ts,ts,True
tshiâng-tsāi,常在,25,chhiâng-chāi,tshiang5tsai7,chhiang5chai7,tshiangtsai,chhiangchai,tt,cc,True
hàinn-kha,幌跤,25,hàiⁿ-kha,hainn3kha,hainn3kha,hainnkha,hainnkha,hk,hk,True
hàinn-lān,幌𡳞,25,hàiⁿ-lān,hainn3lan7,hainn3lan7,hainnlan,hainnlan,hl,hl,True
bōo-hú,幕府,25,bō͘-hú,boo7hu2,boo7hu2,boohu,boohu,bh,bh,True
kan-hē,干係,25,kan-hē,kanhe7,kanhe7,kanhe,kanhe,kh,kh,True
kan-î,干於,25,kan-î,kani5,kani5,kani,kani,ki,ki,True
kan-lo̍k,干樂,25,kan-lo̍k,kanlok8,kanlok8,kanlok,kanlok,kl,kl,True
kan-tāu,干豆,25,kan-tāu,kantau7,kantau7,kantau,kantau,kt,kt,True
kan-ip,干邑,25,kan-ip,kanip,kanip,kanip,kanip,ki,ki,True
pênn-á,平仔,25,pêⁿ-á,penn5a2,penn5a2,penna,penna,pa,pa,True
pînn-á,平仔,25,pîⁿ-á,pinn5a2,pinn5a2,pinna,pinna,pa,pa,True
pîng-siâng,平常,25,pêng-siâng,ping5siang5,peng5siang5,pingsiang,pengsiang,ps,ps,True
pîng-siông,平常,25,pêng-siông,ping5siong5,peng5siong5,pingsiong,pengsiong,ps,ps,True
pêⁿ-pêⁿ,平平,25,pêⁿ-pêⁿ,peⁿ5peⁿ5,penn5penn5,peⁿpeⁿ,pennpenn,pp,pp,True
pîng-khuân,平懸,25,pêng-khoân,ping5khuan5,peng5khoan5,pingkhuan,pengkhoan,pk,pk,True
pîng-kuân,平懸,25,pêng-koân,ping5kuan5,peng5koan5,pingkuan,pengkoan,pk,pk,True
pênn-pán,平板,25,pêⁿ-pán,penn5pan2,penn5pan2,pennpan,pennpan,pp,pp,True
pîng-pán,平板,25,pêng-pán,ping5pan2,peng5pan2,pingpan,pengpan,pp,pp,True
pînn-pán,平板,25,pîⁿ-pán,pinn5pan2,pinn5pan2,pinnpan,pinnpan,pp,pp,True
pênn-pang,平枋,25,pêⁿ-pang,penn5pang,penn5pang,pennpang,pennpang,pp,pp,True
pînn-pang,平枋,25,pîⁿ-pang,pinn5pang,pinn5pang,pinnpang,pinnpang,pp,pp,True
pîng-ôo,平湖,25,pêng-ô͘,ping5oo5,peng5oo5,pingoo,pengoo,po,po,True
pînn-ôo,平湖,25,pîⁿ-ô͘,pinn5oo5,pinn5oo5,pinnoo,pinnoo,po,po,True
pîng-khue,平溪,25,pêng-khoe,ping5khue,peng5khoe,pingkhue,pengkhoe,pk,pk,True
pîng-thâm,平潭,25,pêng-thâm,ping5tham5,peng5tham5,pingtham,pengtham,pt,pt,True
pîng-tìn,平鎮,25,pêng-tìn,ping5tin3,peng5tin3,pingtin,pengtin,pt,pt,True
pîng-iông,平陽,25,pêng-iông,ping5iong5,peng5iong5,pingiong,pengiong,pi,pi,True
nî-á,年仔,25,nî-á,ni5a2,ni5a2,nia,nia,na,na,True
nî-tau,年兜,25,nî-tau,ni5tau,ni5tau,nitau,nitau,nt,nt,True
