tl,hanzi,frequency,poj,tl_num,poj_num
tê-tsiáu,蹄鳥,25,tê-chiáu,te5tsiau2,te5chiau2
khi-khiau,蹊翹,25,khi-khiau,khi1khiau1,khi1khiau1
lap-pún,蹋本,25,lap-pún,lap4pun2,lap4pun2
lap-pōo,蹋步,25,lap-pō͘,lap4poo7,lap4poo7
lap-sí,蹋死,25,lap-sí,lap4si2,lap4si2
lap-o,蹋窩,25,lap-o,lap4o1,lap4o1
liù-phiù,蹓嘌,25,liù-phiù,liu3phiu3,liu3phiu3
tsàm-kha,蹔腳,25,chàm-kha,tsam3kha1,cham3kha1
tsàm-tê,蹔蹄,25,chàm-tê,tsam3te5,cham3te5
tsong-liah,蹤跡,25,chong-liah,tsong1liah4,chong1liah4
tsau-that,蹧躂,25,chau-that,tsau1that4,chau1that4
khiàu-nái,蹺乃,25,khiàu-nái,khiau3nai2,khiau3nai2
khiau-to,蹺刀,25,khiau-to,khiau1to1,khiau1to1
khiàu-thian,蹺天,25,khiàu-thian,khiau3thian1,khiau3thian1
khiau-khi,蹺攲,25,khiau-khi,khiau1khi1,khiau1khi1
khiàu-táinn,蹺歹,25,khiàu-táiⁿ,khiau3tainn2,khiau3tainn2
khiau-ku,蹺痀,25,khiau-ku,khiau1ku1,khiau1ku1
khiau-kha,蹺腳,25,khiau-kha,khiau1kha1,khiau1kha1
khiàu-hê,蹺蝦,25,khiàu-hê,khiau3he5,khiau3he5
khiau-khiau,蹺蹺,25,khiau-khiau,khiau1khiau1,khiau1khiau1
khiàu-tshiu,蹺鬚,25,khiàu-chhiu,khiau3tshiu1,khiau3chhiu1
khiau-khò,蹻khò,25,khiau-khò,khiau1kho3,khiau1kho3
khiau-lâng,蹻人,25,khiau-lâng,khiau1lang5,khiau1lang5
khiâu-lâng,蹻人,25,khiâu-lâng,khiau5lang5,khiau5lang5
khiâu-tiàu,蹻吊,25,khiâu-tiàu,khiau5tiau3,khiau5tiau3
khiâu-khóo,蹻苦,25,khiâu-khó͘,khiau5khoo2,khiau5khoo2
sò-sim,躁心,25,sò-sim,so3sim1,so3sim1
sò-sìng,躁性,25,sò-sèng,so3sing3,so3seng3
sò-pō,躁暴,25,sò-pō,so3po7,so3po7
sò-phoh,躁粕,25,sò-phoh,so3phoh4,so3phoh4
phih-tó,躄倒,25,phih-tó,phih4to2,phih4to2
phih-phak,躄僕,25,phih-phak,phih4phak4,phih4phak4
phih-lo̍h,躄落,25,phih-lo̍h,phih4loh8,phih4loh8
phih-phak,躄覆,25,phih-phak,phih4phak4,phih4phak4
thû-tê,躇茶,25,thû-tê,thu5te5,thu5te5
tiû-tî,躊躇,25,tiû-tî,tiu5ti5,tiu5ti5
tiû-tû,躊躇,25,tiû-tû,tiu5tu5,tiu5tu5
io̍k-sing,躍升,25,io̍k-seng,iok8sing1,iok8seng1
io̍k-ki,躍居,25,io̍k-ki,iok8ki1,iok8ki1
tsik-tio̍h,躓著,25,chek-tio̍h,tsik4tioh8,chek4tioh8
kuāi-ke̍h,躗桀,25,koāi-ke̍h,kuai7keh8,koai7keh8
lìng-sin,躘身,25,lèng-sin,ling3sin1,leng3sin1
lìng-khui,躘開,25,lèng-khui,ling3khui1,leng3khui1
neh-kuân,躡高,25,neh-koân,neh4kuan5,neh4koan5
sin-sè,身世,25,sin-sè,sin1se3,sin1se3
sin-bông,身亡,25,sin-bông,sin1bong5,sin1bong5
sin-hūn,身份,25,sin-hūn,sin1hun7,sin1hun7
sin-kè,身價,25,sin-kè,sin1ke3,sin1ke3
sin-kiam,身兼,25,sin-kiam,sin1kiam1,sin1kiam1
sin-sì,身勢,25,sin-sì,sin1si3,sin1si3
sin-siū,身受,25,sin-siū,sin1siu7,sin1siu7
sin-miā,身命,25,sin-miā,sin1mia7,sin1mia7
sin-tè,身塊,25,sin-tè,sin1te3,sin1te3
sin-īn,身孕,25,sin-īn,sin1in7,sin1in7
sin-ka,身家,25,sin-ka,sin1ka1,sin1ka1
sin-ki,身居,25,sin-ki,sin1ki1,sin1ki1
sin-si,身屍,25,sin-si,sin1si1,sin1si1
sin-té,身底,25,sin-té,sin1te2,sin1te2
sin-tiunn,身張,25,sin-tiuⁿ,sin1tiunn1,sin1tiunn1
sin-iánn,身影,25,sin-iáⁿ,sin1iann2,sin1iann2
sin-hiō,身後,25,sin-hiō,sin1hio7,sin1hio7
sin-sim,身心,25,sin-sim,sin1sim1,sin1sim1
sin-kuâinn,身懸,25,sin-koâiⁿ,sin1kuainn5,sin1koainn5
sin-tshiú,身手,25,sin-chhiú,sin1tshiu2,sin1chhiu2
sin-kàu,身教,25,sin-kàu,sin1kau3,sin1kau3
sin-tsâi,身材,25,sin-châi,sin1tsai5,sin1chai5
sin-tuānn,身段,25,sin-tōaⁿ,sin1tuann7,sin1toann7
sin-huat,身法,25,sin-hoat,sin1huat4,sin1hoat4
sin-uî,身為,25,sin-ûi,sin1ui5,sin1ui5
sin-tshīng,身穿,25,sin-chhēng,sin1tshing7,sin1chheng7
sin-tâng,身胴,25,sin-tâng,sin1tang5,sin1tang5
sin-io,身腰,25,sin-io,sin1io1,sin1io1
sin-tshù,身處,25,sin-chhù,sin1tshu3,sin1chhu3
sin-khu,身軀,25,sin-khu,sin1khu1,sin1khu1
sing-khu,身軀,25,seng-khu,sing1khu1,seng1khu1
sin-pinn,身邊,25,sin-piⁿ,sin1pinn1,sin1pinn1
sin-tíng,身頂,25,sin-téng,sin1ting2,sin1teng2
sin-thé,身體,25,sin-thé,sin1the2,sin1the2
sin-ko,身高,25,sin-ko,sin1ko1,sin1ko1
tô-lán,躲懶,25,tô-lán,to5lan2,to5lan2
khu-khak,軀殼,25,khu-khak,khu1khak4,khu1khak4
tshia-giâ,車giâ,25,chhia-giâ,tshia1gia5,chhia1gia5
tshia-tsú,車主,25,chhia-chú,tshia1tsu2,chhia1chu2
tshia-á,車仔,25,chhia-á,tshia1a2,chhia1a2
tshia-tó,車倒,25,chhia-tó,tshia1to2,chhia1to2
tshia-tuann,車單,25,chhia-toaⁿ,tshia1tuann1,chhia1toann1
tshia-pang,車幫,25,chhia-pang,tshia1pang1,chhia1pang1
tshia-tshn̂g,車床,25,chhia-chhn̂g,tshia1tshng5,chhia1chhng5
tshia-té,車底,25,chhia-té,tshia1te2,chhia1te2
tshia-tsē,車座,25,chhia-chē,tshia1tse7,chhia1che7
tshia-khòo,車庫,25,chhia-khò͘,tshia1khoo3,chhia1khoo3
tshia-siunn,車廂,25,chhia-siuⁿ,tshia1siunn1,chhia1siunn1
tshia-tshiúnn,車廠,25,chhia-chhiúⁿ,tshia1tshiunn2,chhia1chhiunn2
tshia-sim,車心,25,chhia-sim,tshia1sim1,chhia1sim1
tshia-tshiú,車手,25,chhia-chhiú,tshia1tshiu2,chhia1chhiu2
tshia-piànn,車拼,25,chhia-piàⁿ,tshia1piann3,chhia1piann3
tshia-tsiáng,車掌,25,chhia-chiáng,tshia1tsiang2,chhia1chiang2
tshia-pái,車擺,25,chhia-pái,tshia1pai2,chhia1pai2
tshia-táu,車斗,25,chhia-táu,tshia1tau2,chhia1tau2
tshia-kuainn,車杆,25,chhia-koaiⁿ,tshia1kuainn1,chhia1koainn1
tshia-sng,車栓,25,chhia-sng,tshia1sng1,chhia1sng1
tshia-kìnn,車桱,25,chhia-kìⁿ,tshia1kinn3,chhia1kinn3
tshia-kuáinn,車桿,25,chhia-koáiⁿ,tshia1kuainn2,chhia1koainn2
tshia-pînn,車棚,25,chhia-pîⁿ,tshia1pinn5,chhia1pinn5
tshia-sún,車榫,25,chhia-sún,tshia1sun2,chhia1sun2
tshia-kui,車機,25,chhia-kui,tshia1kui1,chhia1kui1
tshia-bó,車母,25,chhia-bó,tshia1bo2,chhia1bo2
tshia-kuàn,車灌,25,chhia-koàn,tshia1kuan3,chhia1koan3
tshia-tsiàu,車照,25,chhia-chiàu,tshia1tsiau3,chhia1chiau3
tshia-ting,車燈,25,chhia-teng,tshia1ting1,chhia1teng1
tshia-pâi,車牌,25,chhia-pâi,tshia1pai5,chhia1pai5
tshia-pang,車班,25,chhia-pang,tshia1pang1,chhia1pang1
tshia-puânn,車盤,25,chhia-pôaⁿ,tshia1puann5,chhia1poann5
tshia-phiò,車票,25,chhia-phiò,tshia1phio3,chhia1phio3
tshia-kìm,車禁,25,chhia-kìm,tshia1kim3,chhia1kim3
tshia-hō,車禍,25,chhia-hō,tshia1ho7,chhia1ho7
tshia-tsoo,車租,25,chhia-cho͘,tshia1tsoo1,chhia1choo1
tshia-tsióng,車種,25,chhia-chióng,tshia1tsiong2,chhia1chiong2
tshia-thang,車窗,25,chhia-thang,tshia1thang1,chhia1thang1
tshia-tsām,車站,25,chhia-chām,tshia1tsam7,chhia1cham7
tshia-siunn,車箱,25,chhia-siuⁿ,tshia1siunn1,chhia1siunn1
tshia-tâi,車臺,25,chhia-tâi,tshia1tai5,chhia1tai5
tshia-tsûn,車船,25,chhia-chûn,tshia1tsun5,chhia1chun5
tshia-hio̍h,車葉,25,chhia-hio̍h,tshia1hioh8,chhia1hioh8
tshia-ia̍p,車葉,25,chhia-ia̍p,tshia1iap8,chhia1iap8
tshia-tshi,車蛆,25,chhia-chhi,tshia1tshi1,chhia1chhi1
tshia-hâng,車行,25,chhia-hâng,tshia1hang5,chhia1hang5
tshia-huè,車貨,25,chhia-hòe,tshia1hue3,chhia1hoe3
tshia-huì,車費,25,chhia-hùi,tshia1hui3,chhia1hui3
tshia-tsu,車資,25,chhia-chu,tshia1tsu1,chhia1chu1
tshia-lōo,車路,25,chhia-lō͘,tshia1loo7,chhia1loo7
tshia-ta̍h,車踏,25,chhia-ta̍h,tshia1tah8,chhia1tah8
tshia-sin,車身,25,chhia-sin,tshia1sin1,chhia1sin1
tshia-lióng,車輛,25,chhia-lióng,tshia1liong2,chhia1liong2
tshia-lián,車輦,25,chhia-lián,tshia1lian2,chhia1lian2
tshia-lûn,車輪,25,chhia-lûn,tshia1lun5,chhia1lun5
tshia-lak,車轆,25,chhia-lak,tshia1lak4,chhia1lak4
tshia-tsuā,車逝,25,chhia-chōa,tshia1tsua7,chhia1choa7
tshia-sok,車速,25,chhia-sok,tshia1sok4,chhia1sok4
tshia-tō,車道,25,chhia-tō,tshia1to7,chhia1to7
tshia-pinn,車邊,25,chhia-piⁿ,tshia1pinn1,chhia1pinn1
tshia-tiànn,車錠,25,chhia-tiàⁿ,tshia1tiann3,chhia1tiann3
tshia-tsînn,車錢,25,chhia-chîⁿ,tshia1tsinn5,chhia1chinn5
tshia-tiúnn,車長,25,chhia-tiúⁿ,tshia1tiunn2,chhia1tiunn2
tshia-mn̂g,車門,25,chhia-mn̂g,tshia1mng5,chhia1mng5
tshia-tsa̍h,車閘,25,chhia-cha̍h,tshia1tsah8,chhia1chah8
tshia-tuī,車隊,25,chhia-tūi,tshia1tui7,chhia1tui7
tshia-tíng,車頂,25,chhia-téng,tshia1ting2,chhia1teng2
tshia-thâu,車頭,25,chhia-thâu,tshia1thau5,chhia1thau5
tshia-thé,車體,25,chhia-thé,tshia1the2,chhia1the2
tshia-tshí,車鼠,25,chhia-chhí,tshia1tshi2,chhia1chhi2
tshia-khí,車齒,25,chhia-khí,tshia1khi2,chhia1khi2
kauh-pênn,軋平,25,kauh-pêⁿ,kauh4penn5,kauh4penn5
kà-tshia,軋車,25,kà-chhia,ka3tshia1,ka3chhia1
kuí-jiah,軌跡,25,kúi-jiah,kui2jiah4,kui2jiah4
kuí-tō,軌道,25,kúi-tō,kui2to7,kui2to7
kun-tiong,軍中,25,kun-tiong,kun1tiong1,kun1tiong1
kun-sū,軍事,25,kun-sū,kun1su7,kun1su7
kun-jîn,軍人,25,kun-jîn,kun1jin5,kun1jin5
kun-á,軍仔,25,kun-á,kun1a2,kun1a2
kun-pī,軍備,25,kun-pī,kun1pi7,kun1pi7
kun-li̍k,軍力,25,kun-le̍k,kun1lik8,kun1lek8
kun-kong,軍功,25,kun-kong,kun1kong1,kun1kong1
kun-khu,軍區,25,kun-khu,kun1khu1,kun1khu1
kun-thuân,軍團,25,kun-thoân,kun1thuan5,kun1thoan5
kun-uí,軍委,25,kun-úi,kun1ui2,kun1ui2
kun-kuann,軍官,25,kun-koaⁿ,kun1kuann1,kun1koann1
kun-sio̍k,軍屬,25,kun-sio̍k,kun1siok8,kun1siok8
kun-su,軍師,25,kun-su,kun1su1,kun1su1
kun-sim,軍心,25,kun-sim,kun1sim1,kun1sim1
kun-tsìng,軍政,25,kun-chèng,kun1tsing3,kun1cheng3
kun-lí,軍旅,25,kun-lí,kun1li2,kun1li2
kun-ho̍k,軍服,25,kun-ho̍k,kun1hok8,kun1hok8
kun-hāu,軍校,25,kun-hāu,kun1hau7,kun1hau7
kun-ki,軍機,25,kun-ki,kun1ki1,kun1ki1
kun-kua,軍歌,25,kun-koa,kun1kua1,kun1koa1
kun-bîn,軍民,25,kun-bîn,kun1bin5,kun1bin5
kun-huat,軍法,25,kun-hoat,kun1huat4,kun1hoat4
kun-káng,軍港,25,kun-káng,kun1kang2,kun1kang2
kun-hué,軍火,25,kun-hóe,kun1hue2,kun1hoe2
kun-iânn,軍營,25,kun-iâⁿ,kun1iann5,kun1iann5
kun-iōng,軍用,25,kun-iōng,kun1iong7,kun1iong7
kun-tsióng,軍種,25,kun-chióng,kun1tsiong2,kun1chiong2
kun-tsit,軍職,25,kun-chit,kun1tsit4,kun1chit4
kun-lām,軍艦,25,kun-lām,kun1lam7,kun1lam7
kun-tsong,軍裝,25,kun-chong,kun1tsong1,kun1chong1
kun-hùn,軍訓,25,kun-hùn,kun1hun3,kun1hun3
kun-kíng,軍警,25,kun-kéng,kun1king2,kun1keng2
kun-huì,軍費,25,kun-hùi,kun1hui3,kun1hui3
kun-pōo,軍部,25,kun-pō͘,kun1poo7,kun1poo7
kun-i,軍醫,25,kun-i,kun1i1,kun1i1
kun-tiúnn,軍長,25,kun-tiúⁿ,kun1tiunn2,kun1tiunn2
kun-hua̍t,軍閥,25,kun-hoa̍t,kun1huat8,kun1hoat8
kun-tuī,軍隊,25,kun-tūi,kun1tui7,kun1tui7
nńg-tsiánn,軟tsiánn,25,nńg-chiáⁿ,nng2tsiann2,nng2chiann2
nńg-la̍t,軟力,25,nńg-la̍t,nng2lat8,nng2lat8
nńg-khàm,軟勘,25,nńg-khàm,nng2kham3,nng2kham3
nńg-huà,軟化,25,nńg-hòa,nng2hua3,nng2hoa3
nńg-sái,軟屎,25,nńg-sái,nng2sai2,nng2sai2
nńg-tshn̂g,軟床,25,nńg-chhn̂g,nng2tshng5,nng2chhng5
nńg-liám,軟廉,25,nńg-liám,nng2liam2,nng2liam2
nńg-sik,軟式,25,nńg-sek,nng2sik4,nng2sek4
luán-jio̍k,軟弱,25,loán-jio̍k,luan2jiok8,loan2jiok8
nńg-lio̍h,軟弱,25,nńg-lio̍h,nng2lioh8,nng2lioh8
nńg-sim,軟心,25,nńg-sim,nng2sim1,nng2sim1
nńg-sìng,軟性,25,nńg-sèng,nng2sing3,nng2seng3
nńg-tshiú,軟手,25,nńg-chhiú,nng2tshiu2,nng2chhiu2
nńg-áu,軟拗,25,nńg-áu,nng2au2,nng2au2
