hanzi,tl,frequency,poj
老茶,lāu-tê,25,lāu-tê
考銃,khó-tshìng,25,khó-chhèng
職場,tsit-tiûnn,25,chit-tiûⁿ
聽牌,thiann-pâi,25,thiaⁿ-pâi
肉叉,bah-tshah,25,bah-chhah
肉桂,lio̍k-kuì,25,lio̍k-kùi
胡桃,ôo-thô,25,ô͘-thô
脂肪,tsi-hong,25,chi-hong
脆球,tshè-kiû,25,chhè-kiû
脫單,thuat-tuann,25,thoat-toaⁿ
腰果,io-kó,25,io-kó
腹地,pak-tuē,25,pak-tōe
腹地,pak-tē,25,pak-tē
腿捒,thuí-sak,25,thúi-sak
腿法,thuí-huat,25,thúi-hoat
膠質,ka-tsit,25,ka-chit
膨粉,phòng-hún,25,phòng-hún
臍帶,tsâi-tuà,25,châi-tòa
航線,hâng-suànn,25,hâng-sòaⁿ
船桮,tsûn-pe,25,chûn-pe
船桮,tsûn-pue,25,chûn-poe
色票,sik-phiò,25,sek-phiò
色素,sik-sòo,25,sek-sò͘
芋泥,ōo-nî,25,ō͘-nî
花椒,hua-tsio,25,hoa-chio
花椒,hue-tsio,25,hoe-chio
芳料,phang-liāu,25,phang-liāu
茶凍,tê-tàng,25,tê-tàng
落妝,lak-tsong,25,lak-chong
落球,lak-kiû,25,lak-kiû
蒲燒,pôo-sio,25,pô͘-sio
蒸餾,tsing-liū,25,cheng-liū
蓄水,thiok-tsuí,25,thiok-chúi
蕨貓,keh-niau,25,keh-niau
蕨貓,kueh-niau,25,koeh-niau
薄妝,po̍h-tsong,25,po̍h-chong
薰雞,hun-ke,25,hun-ke
薰雞,hun-kue,25,hun-koe
藍牙,nâ-gê,25,nâ-gê
藍莓,nâ-m̂,25,nâ-m̂
藏獒,tsōng-ngôo,25,chōng-ngô͘
藤球,tîn-kiû,25,tîn-kiû
虎鯨,hóo-king,25,hó͘-keng
蝦皮,he-phî,25,he-phî
螢幕,îng-bōo,25,êng-bō͘
血油,hueh-iû,25,hoeh-iû
血油,huih-iû,25,huih-iû
血角,hueh-kak,25,hoeh-kak
行拳,kiânn-kûn,25,kiâⁿ-kûn
街友,ke-iú,25,ke-iú
街友,kue-iú,25,koe-iú
街舞,ke-bú,25,ke-bú
街舞,kue-bú,25,koe-bú
衝懸,tshìng-kuân,25,chhèng-koân
衝湧,tshiong-íng,25,chhiong-éng
表單,pió-tuann,25,pió-toaⁿ
裁判,tshâi-phuànn,25,chhâi-phòaⁿ
補位,póo-uī,25,pó͘-ūi
製程,tsè-thîng,25,chè-thêng
複製,ho̍k-tsè,25,ho̍k-chè
視窗,sī-thang,25,sī-thang
角球,kak-kiû,25,kak-kiû
