tl,hanzi,frequency,poj,tl_num,poj_num
huat-tiâu,發條,25,hoat-tiâu,huattiau5,hoattiau5
puh-phe̍h,發沫,25,puh-phe̍h,puhpheh8,puhpheh8
puh-phue̍h,發沫,25,puh-phoe̍h,puhphueh8,puhphoeh8
puh-pho,發波,25,puh-pho,puhpho,puhpho
huat-senn,發生,25,hoat-seⁿ,huatsenn,hoatsenn
huat-sinn,發生,25,hoat-siⁿ,huatsinn,hoatsinn
huat-hún,發粉,25,hoat-hún,huathun2,hoathun2
huat-kér,發粿,25,hoat-kér,huatker2,hoatker2
puh-lâng,發膿,25,puh-lâng,puhlang5,puhlang5
huat-ínn,發蘖,25,hoat-íⁿ,huatinn2,hoatinn2
huat-khui,發開,25,hoat-khui,huatkhui,hoatkhui
pe̍h-pang,白板,25,pe̍h-pang,peh8pang,peh8pang
pe̍h-tshat,白漆,25,pe̍h-chhat,peh8tshat,peh8chhat
pe̍h-tshi,白痴,25,pe̍h-chhi,peh8tshi,peh8chhi
pe̍h-tshi,白癡,25,pe̍h-chhi,peh8tshi,peh8chhi
pe̍h-ba̍k,白目,25,pe̍h-ba̍k,peh8bak8,peh8bak8
pe̍h-mah,白肉,25,pe̍h-mah,peh8mah,peh8mah
pe̍h-tám,白膽,25,pe̍h-tám,peh8tam2,peh8tam2
pe̍h-hê,白蝦,25,pe̍h-hê,peh8he5,peh8he5
pi̍k-tho̍k,白讀,25,pe̍k-tho̍k,pik8thok8,pek8thok8
pe̍h-tsit,白質,25,pe̍h-chit,peh8tsit,peh8chit
pe̍h-tshòo,白醋,25,pe̍h-chhò͘,peh8tshoo3,peh8chhoo3
pe̍h-ke,白雞,25,pe̍h-ke,peh8ke,peh8ke
pe̍h-tsia̍h,白食,25,pe̍h-chia̍h,peh8tsiah8,peh8chiah8
pe̍h-mī,白麵,25,pe̍h-mī,peh8mi7,peh8mi7
pik-tsè,百濟,25,pek-chè,piktse3,pekche3
pah-phiò,百票,25,pah-phiò,pahphio3,pahphio3
pah-kíng,百襇,25,pah-kéng,pahking2,pahkeng2
pah-bīn,百面,25,pah-bīn,pahbin7,pahbin7
tsô-lē,皂隸,25,chô-lē,tso5le7,cho5le7
phuê-tsâi,皮材,25,phôe-châi,phue5tsai5,phoe5chai5
phuê-tsiūnn,皮癢,25,phôe-chiūⁿ,phue5tsiunn7,phoe5chiunn7
phuê-phuê,皮皮,25,phôe-phôe,phue5phue5,phoe5phoe5
phî-phî,皮皮,25,phî-phî,phi5phi5,phi5phi5
phî-lián,皮臉,25,phî-lián,phi5lian2,phi5lian2
jiâu-sûn,皺巡,25,jiâu-sûn,jiau5sun5,jiau5sun5
liâu-sûn,皺巡,25,liâu-sûn,liau5sun5,liau5sun5
liâu-khang,皺空,25,liâu-khang,liau5khang,liau5khang
jiâu-bûn,皺紋,25,jiâu-bûn,jiau5bun5,jiau5bun5
it-huat,益發,25,it-hoat,ithuat,ithoat
tō-iōng,盜用,25,tō-iōng,to7iong7,to7iong7
tsīn-ke,盡加,25,chīn-ke,tsin7ke,chin7ke
tsīn-liōng,盡量,25,chīn-liōng,tsin7liong7,chin7liong7
puânn-tshuì,盤喙,25,pôaⁿ-chhùi,puann5tshui3,poann5chhui3
puânn-tsíng,盤整,25,pôaⁿ-chéng,puann5tsing2,poann5cheng2
puânn-ki,盤機,25,pôaⁿ-ki,puann5ki,poann5ki
puânn-kiû,盤球,25,pôaⁿ-kiû,puann5kiu5,poann5kiu5
tn̄g-tn̄g,盪盪,25,tn̄g-tn̄g,tng7tng7,tng7tng7
ba̍k-khóng,目孔,25,ba̍k-khóng,bak8khong2,bak8khong2
ba̍k-tshái,目彩,25,ba̍k-chhái,bak8tshai2,bak8chhai2
ba̍k-tsiap,目汁,25,ba̍k-chiap,bak8tsiap,bak8chiap
ba̍k-ham,目蚶,25,ba̍k-ham,bak8ham,bak8ham
ba̍k-tē,目袋,25,ba̍k-tē,bak8te7,bak8te7
ba̍k-sik,目識,25,ba̍k-sek,bak8sik,bak8sek
ti̍t-kak,直覺,25,ti̍t-kak,tit8kak,tit8kak
siong-sîng,相乘,25,siong-sêng,siongsing5,siongseng5
sio-kāng,相仝,25,sio-kāng,siokang7,siokang7
sio-thīn,相伨,25,sio-thīn,siothin7,siothin7
sio-thâi,相刣,25,sio-thâi,siothai5,siothai5
sann-tâng,相同,25,saⁿ-tâng,sanntang5,sanntang5
sann-hô,相和,25,saⁿ-hô,sannho5,sannho5
