hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kungge
披土,phi-thôo,25,phi-thô͘,phithoo5,phithoo5,phithoo,phithoo,pt,pt,True
抹刀,buah-to,25,boah-to,buahto,boahto,buahto,boahto,bt,bt,True
抾板,khioh-pán,25,khioh-pán,khiohpan2,khiohpan2,khiohpan,khiohpan,kp,kp,True
抾蒼,khioh-tshong,25,khioh-chhong,khiohtshong,khiohchhong,khiohtshong,khiohchhong,kt,kc,True
拆線,thiah-suànn,25,thiah-sòaⁿ,thiahsuann3,thiahsoann3,thiahsuann,thiahsoann,ts,ts,True
拍漿,phah-tsiunn,25,phah-chiuⁿ,phahtsiunn,phahchiunn,phahtsiunn,phahchiunn,pt,pc,True
拍空,phah-khang,25,phah-khang,phahkhang,phahkhang,phahkhang,phahkhang,pk,pk,True
拍箍,phah-khoo,25,phah-kho͘,phahkhoo,phahkhoo,phahkhoo,phahkhoo,pk,pk,True
拍胚,phah-phue,25,phah-phoe,phahphue,phahphoe,phahphue,phahphoe,pp,pp,True
拔花,puēh-hue,25,poēh-hoe,pueh7hue,poeh7hoe,puehhue,poehhoe,ph,ph,True
拗彎,áu-uan,25,áu-oan,au2uan,au2oan,auuan,auoan,au,ao,True
挖空,ué-khang,25,óe-khang,ue2khang,oe2khang,uekhang,oekhang,uk,ok,True
挲線,so-suànn,25,so-sòaⁿ,sosuann3,sosoann3,sosuann,sosoann,ss,ss,True
捀盤,phâng-puânn,25,phâng-pôaⁿ,phang5puann5,phang5poann5,phangpuann,phangpoann,pp,pp,True
捆絃,khún-hiân,25,khún-hiân,khun2hian5,khun2hian5,khunhian,khunhian,kh,kh,True
捏頭,lia̍p-thâu,25,lia̍p-thâu,liap8thau5,liap8thau5,liapthau,liapthau,lt,lt,True
捲枋,kńg-pang,25,kńg-pang,kng2pang,kng2pang,kngpang,kngpang,kp,kp,True
掃枋,sàu-pang,25,sàu-pang,sau3pang,sau3pang,saupang,saupang,sp,sp,True
掠花,lia̍h-hue,25,lia̍h-hoe,liah8hue,liah8hoe,liahhue,liahhoe,lh,lh,True
接剾,tsiap-khau,25,chiap-khau,tsiapkhau,chiapkhau,tsiapkhau,chiapkhau,tk,ck,True
接線,tsiap-suànn,25,chiap-sòaⁿ,tsiapsuann3,chiapsoann3,tsiapsuann,chiapsoann,ts,cs,True
摃空,kòng-khang,25,kòng-khang,kong3khang,kong3khang,kongkhang,kongkhang,kk,kk,True
撋塗,nuá-thôo,25,nóa-thô͘,nua2thoo5,noa2thoo5,nuathoo,noathoo,nt,nt,True
擠金,tsik-kim,25,chek-kim,tsikkim,chekkim,tsikkim,chekkim,tk,ck,True
攕草,tshiám-tshó,25,chhiám-chhó,tshiam2tsho2,chhiam2chho2,tshiamtsho,chhiamchho,tt,cc,True
放枋,pàng-pang,25,pàng-pang,pang3pang,pang3pang,pangpang,pangpang,pp,pp,True
敲仔,khà-á,25,khà-á,kha3a2,kha3a2,khaa,khaa,ka,ka,True
敲槌,khà-thuî,25,khà-thûi,kha3thui5,kha3thui5,khathui,khathui,kt,kt,True
文目,bûn-ba̍k,25,bûn-ba̍k,bun5bak8,bun5bak8,bunbak,bunbak,bb,bb,True
文肚,bûn-tōo,25,bûn-tō͘,bun5too7,bun5too7,buntoo,buntoo,bt,bt,True
文袍,bûn-phâu,25,bûn-phâu,bun5phau5,bun5phau5,bunphau,bunphau,bp,bp,True
文轎,bûn-kiō,25,bûn-kiō,bun5kio7,bun5kio7,bunkio,bunkio,bk,bk,True
斧頭,póo-thâu,25,pó͘-thâu,poo2thau5,poo2thau5,poothau,poothau,pt,pt,True
旗頭,kî-thâu,25,kî-thâu,ki5thau5,ki5thau5,kithau,kithau,kt,kt,True
時鐘,sî-tsing,25,sî-cheng,si5tsing,si5cheng,sitsing,sicheng,st,sc,True
晟手,tshiânn-tshiú,25,chhiâⁿ-chhiú,tshiann5tshiu2,chhiann5chhiu2,tshianntshiu,chhiannchhiu,tt,cc,True
暗號,àm-hō,25,àm-hō,am3ho7,am3ho7,amho,amho,ah,ah,True
月桃,ge̍h-thô,25,ge̍h-thô,geh8tho5,geh8tho5,gehtho,gehtho,gt,gt,True
朝天,tiâu-thian,25,tiâu-thian,tiau5thian,tiau5thian,tiauthian,tiauthian,tt,tt,True
木尺,bo̍k-tshioh,25,bo̍k-chhioh,bok8tshioh,bok8chhioh,boktshioh,bokchhioh,bt,bc,True
本尊,pún-tsun,25,pún-chun,pun2tsun,pun2chun,puntsun,punchun,pt,pc,True
杜英,tōo-ing,25,tō͘-eng,too7ing,too7eng,tooing,tooeng,ti,te,True
束冠,sok-kuan,25,sok-koan,sokkuan,sokkoan,sokkuan,sokkoan,sk,sk,True
松膠,siông-ka,25,siông-ka,siong5ka,siong5ka,siongka,siongka,sk,sk,True
枇杷,gî-pê,25,gî-pê,gi5pe5,gi5pe5,gipe,gipe,gp,gp,True
染料,ní-liāu,25,ní-liāu,ni2liau7,ni2liau7,niliau,niliau,nl,nl,True
染桶,ní-tháng,25,ní-tháng,ni2thang2,ni2thang2,nithang,nithang,nt,nt,True
染色,ní-tsik,25,ní-chek,ni2tsik,ni2chek,nitsik,nichek,nt,nc,True
柱珠,thiāu-tsu,25,thiāu-chu,thiau7tsu,thiau7chu,thiautsu,thiauchu,tt,tc,True
柴砧,tshâ-tiam,25,chhâ-tiam,tsha5tiam,chha5tiam,tshatiam,chhatiam,tt,ct,True
柴窯,tshâ-iô,25,chhâ-iô,tsha5io5,chha5io5,tshaio,chhaio,ti,ci,True
柴胎,tshâ-thai,25,chhâ-thai,tsha5thai,chha5thai,tshathai,chhathai,tt,ct,True
桌崁,toh-khàm,25,toh-khàm,tohkham3,tohkham3,tohkham,tohkham,tk,tk,True
桌裙,toh-kûn,25,toh-kûn,tohkun5,tohkun5,tohkun,tohkun,tk,tk,True
桶梯,tháng-thui,25,tháng-thui,thang2thui,thang2thui,thangthui,thangthui,tt,tt,True
梅花,muî-hue,25,mûi-hoe,mui5hue,mui5hoe,muihue,muihoe,mh,mh,True
梳仔,se-á,25,se-á,sea2,sea2,sea,sea,sa,sa,True
棉布,mî-pòo,25,mî-pò͘,mi5poo3,mi5poo3,mipoo,mipoo,mp,mp,True
棉線,mî-suànn,25,mî-sòaⁿ,mi5suann3,mi5soann3,misuann,misoann,ms,ms,True
棕蓑,tsang-sui,25,chang-sui,tsangsui,changsui,tsangsui,changsui,ts,cs,True
椅條,í-liâu,25,í-liâu,i2liau5,i2liau5,iliau,iliau,il,il,True
植眉,ti̍t-bâi,25,ti̍t-bâi,tit8bai5,tit8bai5,titbai,titbai,tb,tb,True
楊梅,iûnn-muî,25,iûⁿ-mûi,iunn5mui5,iunn5mui5,iunnmui,iunnmui,im,im,True
槐花,huâi-hue,25,hoâi-hoe,huai5hue,hoai5hoe,huaihue,hoaihoe,hh,hh,True
樹木,tshiū-bo̍k,25,chhiū-bo̍k,tshiu7bok8,chhiu7bok8,tshiubok,chhiubok,tb,cb,True
橫頭,huâinn-thâu,25,hoâiⁿ-thâu,huainn5thau5,hoainn5thau5,huainnthau,hoainnthau,ht,ht,True
武將,bú-tsiòng,25,bú-chiòng,bu2tsiong3,bu2chiong3,butsiong,buchiong,bt,bc,True
武胸,bú-hing,25,bú-heng,bu2hing,bu2heng,buhing,buheng,bh,bh,True
武轎,bú-kiō,25,bú-kiō,bu2kio7,bu2kio7,bukio,bukio,bk,bk,True
比仔,pí-á,25,pí-á,pi2a2,pi2a2,pia,pia,pa,pa,True
毡仔,tsám-á,25,chám-á,tsam2a2,cham2a2,tsama,chama,ta,ca,True
水族,tsuí-tso̍k,25,chúi-cho̍k,tsui2tsok8,chui2chok8,tsuitsok,chuichok,tt,cc,True
水晶,tsuí-tsinn,25,chúi-chiⁿ,tsui2tsinn,chui2chinn,tsuitsinn,chuichinn,tt,cc,True
水油,tsuí-iû,25,chúi-iû,tsui2iu5,chui2iu5,tsuiiu,chuiiu,ti,ci,True
水波,tsuí-pho,25,chúi-pho,tsui2pho,chui2pho,tsuipho,chuipho,tp,cp,True
水秤,tsuí-tshìn,25,chúi-chhìn,tsui2tshin3,chui2chhin3,tsuitshin,chuichhin,tt,cc,True
水管,tsuí-kóng,25,chúi-kóng,tsui2kong2,chui2kong2,tsuikong,chuikong,tk,ck,True
水膠,tsuí-ka,25,chúi-ka,tsui2ka,chui2ka,tsuika,chuika,tk,ck,True
