tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taijit,is_variant
sòng-thé,宋體,25,sòng-thé,song3the2,song3the2,songthe,songthe,st,st,True,False
uân-liáu,完了,25,oân-liáu,uan5liau2,oan5liau2,uanliau,oanliau,ul,ol,True,False
uân-pī,完備,25,oân-pī,uan5pi7,oan5pi7,uanpi,oanpi,up,op,True,False
uân-tsuân,完全,25,oân-choân,uan5tsuan5,oan5choan5,uantsuan,oanchoan,ut,oc,True,False
uân-bîng,完名,25,oân-bêng,uan5bing5,oan5beng5,uanbing,oanbeng,ub,ob,True,False
uân-tuann,完單,25,oân-toaⁿ,uan5tuann1,oan5toann1,uantuann,oantoann,ut,ot,True,False
uân-phûn,完墳,25,oân-phûn,uan5phun5,oan5phun5,uanphun,oanphun,up,op,True,False
uân-bāng,完夢,25,oân-bāng,uan5bang7,oan5bang7,uanbang,oanbang,ub,ob,True,False
ûn-bāng,完夢,25,ûn-bāng,un5bang7,un5bang7,unbang,unbang,ub,ub,True,False
uân-hun,完婚,25,oân-hun,uan5hun1,oan5hun1,uanhun,oanhun,uh,oh,True,False
uân-uân,完完,25,oân-oân,uan5uan5,oan5oan5,uanuan,oanoan,uu,oo,True,False
uân-kang,完工,25,oân-kang,uan5kang1,oan5kang1,uankang,oankang,uk,ok,True,False
uân-tsiânn,完成,25,oân-chiâⁿ,uan5tsiann5,oan5chiann5,uantsiann,oanchiann,ut,oc,True,False
uân-bîng,完明,25,oân-bêng,uan5bing5,oan5beng5,uanbing,oanbeng,ub,ob,True,False
uân-tshing,完清,25,oân-chheng,uan5tshing1,oan5chheng1,uantshing,oanchheng,ut,oc,True,False
uân-muá,完滿,25,oân-móa,uan5mua2,oan5moa2,uanmua,oanmoa,um,om,True,False
uân-pit,完畢,25,oân-pit,uan5pit4,oan5pit4,uanpit,oanpit,up,op,True,False
uân-suè,完稅,25,oân-sòe,uan5sue3,oan5soe3,uansue,oansoe,us,os,True,False
uân-tsùn,完竣,25,oân-chùn,uan5tsun3,oan5chun3,uantsun,oanchun,ut,oc,True,False
uân-niû,完糧,25,oân-niû,uan5niu5,oan5niu5,uanniu,oanniu,un,on,True,False
uân-la̍p,完納,25,oân-la̍p,uan5lap8,oan5lap8,uanlap,oanlap,ul,ol,True,False
uân-kiat,完結,25,oân-kiat,uan5kiat4,oan5kiat4,uankiat,oankiat,uk,ok,True,False
uân-phìng,完聘,25,oân-phèng,uan5phing3,oan5pheng3,uanphing,oanpheng,up,op,True,False
uân-uē,完話,25,oân-ōe,uan5ue7,oan5oe7,uanue,oanoe,uu,oo,True,False
uân-siàu,完賬,25,oân-siàu,uan5siau3,oan5siau3,uansiau,oansiau,us,os,True,False
uân-hiòng,完餉,25,oân-hiòng,uan5hiong3,oan5hiong3,uanhiong,oanhiong,uh,oh,True,False
hông-tsòng,宏壯,25,hông-chòng,hong5tsong3,hong5chong3,hongtsong,hongchong,ht,hc,True,False
hông-hok,宏福,25,hông-hok,hong5hok4,hong5hok4,honghok,honghok,hh,hh,True,False
tsong-peh,宗伯,25,chong-peh,tsong1peh4,chong1peh4,tsongpeh,chongpeh,tp,cp,True,False
tsong-hing,宗兄,25,chong-heng,tsong1hing1,chong1heng1,tsonghing,chongheng,th,ch,True,False
tsong-siok,宗叔,25,chong-siok,tsong1siok4,chong1siok4,tsongsiok,chongsiok,ts,cs,True,False
tsong-ti̍t,宗姪,25,chong-ti̍t,tsong1tit8,chong1tit8,tsongtit,chongtit,tt,ct,True,False
tsong-biāu,宗廟,25,chong-biāu,tsong1biau7,chong1biau7,tsongbiau,chongbiau,tb,cb,True,False
tsong-tē,宗弟,25,chong-tē,tsong1te7,chong1te7,tsongte,chongte,tt,ct,True,False
tsong-tsi,宗支,25,chong-chi,tsong1tsi1,chong1chi1,tsongtsi,chongchi,tt,cc,True,False
tsong-tsìng,宗政,25,chong-chèng,tsong1tsing3,chong1cheng3,tsongtsing,chongcheng,tt,cc,True,False
tsong-kàu,宗教,25,chong-kàu,tsong1kau3,chong1kau3,tsongkau,chongkau,tk,ck,True,False
tsong-tso̍k,宗族,25,chong-cho̍k,tsong1tsok8,chong1chok8,tsongtsok,chongchok,tt,cc,True,False
tsong-tsí,宗旨,25,chong-chí,tsong1tsi2,chong1chi2,tsongtsi,chongchi,tt,cc,True,False
tsong-phài,宗派,25,chong-phài,tsong1phai3,chong1phai3,tsongphai,chongphai,tp,cp,True,False
tsong-sû,宗祠,25,chong-sû,tsong1su5,chong1su5,tsongsu,chongsu,ts,cs,True,False
tsong-tshin,宗親,25,chong-chhin,tsong1tshin1,chong1chhin1,tsongtshin,chongchhin,tt,cc,True,False
tsong-mn̂g,宗門,25,chong-mn̂g,tsong1mng5,chong1mng5,tsongmng,chongmng,tm,cm,True,False
kuann-lâng,官人,25,koaⁿ-lâng,kuann1lang5,koann1lang5,kuannlang,koannlang,kl,kl,True,False
kuann-tiān,官佃,25,koaⁿ-tiān,kuann1tian7,koann1tian7,kuanntian,koanntian,kt,kt,True,False
kuann-uī,官位,25,koaⁿ-ūi,kuann1ui7,koann1ui7,kuannui,koannui,ku,ku,True,False
kuann-tshng,官倉,25,koaⁿ-chhng,kuann1tshng1,koann1chhng1,kuanntshng,koannchhng,kt,kc,True,False
kuann-tsuè,官做,25,koaⁿ-chòe,kuann1tsue3,koann1choe3,kuanntsue,koannchoe,kt,kc,True,False
kuann-ún,官允,25,koaⁿ-ún,kuann1un2,koann1un2,kuannun,koannun,ku,ku,True,False
kuann-ping,官兵,25,koaⁿ-peng,kuann1ping1,koann1peng1,kuannping,koannpeng,kp,kp,True,False
kuann-tsún,官准,25,koaⁿ-chún,kuann1tsun2,koann1chun2,kuanntsun,koannchun,kt,kc,True,False
kuann-tsè,官制,25,koaⁿ-chè,kuann1tse3,koann1che3,kuanntse,koannche,kt,kc,True,False
kuann-ìn,官印,25,koaⁿ-ìn,kuann1in3,koann1in3,kuannin,koannin,ki,ki,True,False
kuann-si,官司,25,koaⁿ-si,kuann1si1,koann1si1,kuannsi,koannsi,ks,ks,True,False
kuann-miâ,官名,25,koaⁿ-miâ,kuann1mia5,koann1mia5,kuannmia,koannmia,km,km,True,False
kuann-li,官吏,25,koaⁿ-li,kuann1li1,koann1li1,kuannli,koannli,kl,kl,True,False
kuann-bīng,官命,25,koaⁿ-bēng,kuann1bing7,koann1beng7,kuannbing,koannbeng,kb,kb,True,False
kuann-uân,官員,25,koaⁿ-oân,kuann1uan5,koann1oan5,kuannuan,koannoan,ku,ko,True,False
kuann-tē,官地,25,koaⁿ-tē,kuann1te7,koann1te7,kuannte,koannte,kt,kt,True,False
kuann-tui,官堆,25,koaⁿ-tui,kuann1tui1,koann1tui1,kuanntui,koanntui,kt,kt,True,False
kuann-pò,官報,25,koaⁿ-pò,kuann1po3,koann1po3,kuannpo,koannpo,kp,kp,True,False
kuann-tiûnn,官場,25,koaⁿ-tiûⁿ,kuann1tiunn5,koann1tiunn5,kuanntiunn,koanntiunn,kt,kt,True,False
kuann-hu,官夫,25,koaⁿ-hu,kuann1hu1,koann1hu1,kuannhu,koannhu,kh,kh,True,False
kuann-khuè,官契,25,koaⁿ-khòe,kuann1khue3,koann1khoe3,kuannkhue,koannkhoe,kk,kk,True,False
kuann-ui,官威,25,koaⁿ-ui,kuann1ui1,koann1ui1,kuannui,koannui,ku,ku,True,False
kuann-niû,官娘,25,koaⁿ-niû,kuann1niu5,koann1niu5,kuannniu,koannniu,kn,kn,True,False
kuann-muî,官媒,25,koaⁿ-mûi,kuann1mui5,koann1mui5,kuannmui,koannmui,km,km,True,False
