tl,hanzi
o,呵
siūnn,尚
ki,居
tshiú,帚
sènn,性
phú,斧
huinn,昏
kué,果
khîn,芹
thô,迌
hōo,厚
hōo,後
hōo,後
hīn,恨
tsíng,指
senn,牲
po,玻
siunn,相
kia̍h,屐
tshî,徐
sû,殊
kí,矩
ting,釘
som,參
som,參
tiùnn,帳
sò,掃
tsô,曹
niû,梁
huâinn,莖
hīng,莧
tshù,處
hí,許
kueh,郭
muê,媒
ú,寓
tsè,晬
tshiunn,腔
pue,菠
tô,萄
hiunn,鄉
uínn,鈗
iûnn,陽
khîn,勤
sû,嗣
līng,楝
ênn,楹
ī,預
lī,慮
niû,樑
huān,範
liân,蓮
khuè,課
tēnn,鄭
tî,鋤
khiūnn,噤
tshenn,親
môo,謀
thôo,頭
thôo,頭
iunn,鴦
enn,嬰
sī,嶼
tè,戴
tshò,糙
kí,舉
tsiunn,螿
siā,謝
kok,顎
lô,羅
tenn,蹬
tshiunn,鯧
lē,鑢
kenn,驚
tshâm,蠶
tshâm,蠶
peh,八
tor,刀
tsiōnn,上
tshiōnn,上
lú,女
tsú,子
kin,巾
tiong,中
hōo,予
gōo,五
tsénn,井
píng,反
kin,斤
ji̍t,日
li̍t,日
gue̍h,月
moo,毛
mn̂g,毛
hué,火
khì,去
khór,可
ni,奶
pênn,平
buē,未
biór,母
tsiap,汁
huān,犯
tshenn,生
senn,生
phuê,皮
kng,光
tshiōnn,匠
kiánn,囝
huê,回
tē,地
hór,好
jī,字
tshù,次
iônn,羊
khór,考
hīnn,耳
tsū,自
hueh,血
tī,佇
lí,你
nn̄g,卵
puī,吠
tshue,吹
khenn,坑
ngeh,夾
bué,尾
jiàu,抓
kenn,更
pōo,步
tse,災
tōo,肚
ōo,芋
guán,阮
gún,阮
sū,事
nióo,兩
tshe,初
kńg,卷
khia,奇
muē,妹
sènn,姓
té,底
kenn,庚
phōr,抱
puānn,拌
pue̍h,拔
hôr,河
tshue,炊
tsenn,爭
kionn,羌
sing,芟
kīn,近
hānn,迒
tiónn,長
mn̂g,門
hōo,雨
tshenn,青
pór,保
tshòr,剉
kāu,厚
khè,契
tōo,度
tshenn,星
pènn,柄
iônn,洋
sé,洗
te,炱
kè,疥
siònn,相
gíng,研
tshīng,穿
tshng,穿
juán,耎
phue,胚
khīng,虹
pue,飛
hionn,香
puē,倍
tór,倒
tòr,倒
pōo,哺
kénn,哽
niôo,娘
tór,島
su,師
un,恩
in,恩
un,恩
in,恩
e,挨
juê,挼
lua̍h,捋
tēnn,捏
thôr,桃
torh,桌
e̍h,狹
pēnn,病
sorh,索
khueh,缺
tshè,脆
me̍h,脈
iónn,舀
tshór,草
hng,荒
thór,討
thè,退
phuè,配
tsiam,針
tî,除
tî,除
tsòr,做
tshiòr,唱
tshiònn,唱
tok,啄
mn̄g,問
pôr,婆
tionn,張
ńg,捥
kńg,捲
the,推
ng,掩
tsn̄g,旋
muâi,梅
beh,欲
tshing,清
lê,犁
tsionn,章
le̍h,笠
phorh,粕
sè,細
ngeh,莢
ôr,蚵
tshu,蛆
tē,袋
phuē,被
huè,貨
kǹg,貫
kué,跂
nńg,軟
jiok,逐
seh,雪
hî,魚
pòr,報
tiônn,場
bōr,帽
tsiónn,掌
pué,掰
tshuē,揣
nê,晾
thè,替
tsór,棗
pênn,棚
puē,焙
bôr,無
tsú,煮
uē,畫
té,短
ngē,硬
suè,稅
kin,筋
tse̍h,絕
tiònn,脹
khionn,腔
tshu,舒
tio̍rh,著
to̍rh,著
ke,街
tshiōnn,象
hīng,貺
niôo,量
niōo,量
pn̄g,飯
n̂g,黃
sé,黍
thn̂g,傳
sionn,傷
hn̂g,園
tè,塊
sór,嫂
siōnn,想
sńg,損
khiú,搝
giú,搝
me,搣
tshiónn,搶
ē,會
kīng,楗
huè,歲
khe,溪
iônn,溶
gîn,睨
é,矮
tseh,節
kenn,經
hōr,號
gū,遇
kuè,過
sian,鉎
tǹg,頓
tshú,鼠
tshiōnn,像
orh,僫
ue̍h,劃
bōng,墓
bong,摸
mê,暝
tshionn,槍
tiònn,漲
sǹg,算
kńg,管
tī,箸
kué,粿
tuè,綴
kê,膎
gú,語
sueh,說
sôr,趖
se̍h,踅
hn̄g,遠
sng,酸
gîn,銀
phīnn,鼻
tsê,齊
tsiâu,齊
tshiónn,廠
tsheh,慼
tshiâu,撨
tsiónn,槳
tsôr,槽
tsionn,樟
iōnn,樣
tsionn,漿
thn̄g,熥
kheh,瞌
tshuê,箠
sionn,箱
mē,罵
por,褒
tsènn,諍
ti,豬
siónn,賞
puê,賠
khòr,靠
ê,鞋
iónn,養
gōr,餓
o̍rh,學
kì,據
tsng,磚
bōr,磨
kor,篙
kor,糕
kuān,縣
thǹg,褪
tê,蹄
tshénn,醒
kù,鋸
kuè,髻
tsē,濟
sòr,燥
tshiônn,牆
tènn,瞪
muâi,糜
po̍rh,薄
kionn,薑
tsû,薯
lê,螺
tsiā,謝
hîng,還
ue,鍋
tn̄g,斷
niôo,糧
nǹg,軁
tńg,轉
tsiònn,醬
sór,鎖
siang,雙
ke,雞
tê,題
tshiônn,颺
gôr,鵝
phōo,簿
kenn,羹
kuainn,關
khǹg,勸
pór,寶
tsiōnn,癢
bue̍h,襪
tshué,髓
kuè,鱖
niōo,讓
neh,躡
