tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,sitbut,is_variant
tsio̍h-kiàm,石劍,25,chio̍h-kiàm,tsioh8kiam3,chioh8kiam3,tsiohkiam,chiohkiam,tk,ck,True,False
tsio̍h-phok,石博,25,chio̍h-phok,tsioh8phok4,chioh8phok4,tsiohphok,chiohphok,tp,cp,True,False
tsio̍h-ge̍h,石月,25,chio̍h-ge̍h,tsioh8geh8,chioh8geh8,tsiohgeh,chiohgeh,tg,cg,True,False
tsio̍h-tshîng,石松,25,chio̍h-chhêng,tsioh8tshing5,chioh8chheng5,tsiohtshing,chiohchheng,tt,cc,True,False
tsio̍h-lîng,石柃,25,chio̍h-lêng,tsioh8ling5,chioh8leng5,tsiohling,chiohleng,tl,cl,True,False
tsio̍h-liú,石柳,25,chio̍h-liú,tsioh8liu2,chioh8liu2,tsiohliu,chiohliu,tl,cl,True,False
sia̍h-liû,石榴,25,sia̍h-liû,siah8liu5,siah8liu5,siahliu,siahliu,sl,sl,True,False
tsio̍h-tsu,石櫧,25,chio̍h-chu,tsioh8tsu1,chioh8chu1,tsiohtsu,chiohchu,tt,cc,True,False
tsio̍h-siap,石澁,25,chio̍h-siap,tsioh8siap4,chioh8siap4,tsiohsiap,chiohsiap,ts,cs,True,False
tsio̍h-tik,石竹,25,chio̍h-tek,tsioh8tik4,chioh8tek4,tsiohtik,chiohtek,tt,ct,True,False
tsio̍h-tsû,石薯,25,chio̍h-chû,tsioh8tsu5,chioh8chu5,tsiohtsu,chiohchu,tt,cc,True,False
bé-tsî,碼薯,25,bé-chî,be2tsi5,be2chi5,betsi,bechi,bt,bc,True,False
bō-tsháu,磨草,25,bō-chháu,bo7tshau2,bo7chhau2,botshau,bochhau,bt,bc,True,False
kî-gāi,祈艾,25,kî-gāi,ki5gai7,ki5gai7,kigai,kigai,kg,kg,True,False
siù-ing,秀英,25,siù-eng,siu3ing1,siu3eng1,siuing,siueng,si,se,True,False
tshiu-lân,秋蘭,25,chhiu-lân,tshiu1lan5,chhiu1lan5,tshiulan,chhiulan,tl,cl,True,False
tiû-á,稠仔,25,tiû-á,tiu5a2,tiu5a2,tiua,tiua,ta,ta,True,False
tsang-bo̍k,稯木,25,chang-bo̍k,tsang1bok8,chang1bok8,tsangbok,changbok,tb,cb,True,False
tik-peh,竹柏,25,tek-peh,tik4peh4,tek4peh4,tikpeh,tekpeh,tp,tp,True,False
tsìnn-tik,箭竹,25,chìⁿ-tek,tsinn3tik4,chinn3tek4,tsinntik,chinntek,tt,ct,True,False
bí-tāu,米豆,25,bí-tāu,bi2tau7,bi2tau7,bitau,bitau,bt,bt,True,False
hun-tsio,粉蕉,25,hun-chio,hun1tsio1,hun1chio1,huntsio,hunchio,ht,hc,True,False
phoh-á,粕仔,25,phoh-á,phoh4a2,phoh4a2,phoha,phoha,pa,pa,True,False
kôo-thu,糊樗,25,kô͘-thu,koo5thu1,koo5thu1,koothu,koothu,kt,kt,True,False
khong-lông,糠榔,25,khong-lông,khong1long5,khong1long5,khonglong,khonglong,kl,kl,True,False
âng-sam,紅杉,25,âng-sam,ang5sam1,ang5sam1,angsam,angsam,as,as,True,False
âng-kam,紅柑,25,âng-kam,ang5kam1,ang5kam1,angkam,angkam,ak,ak,True,False
âng-tshâ,紅柴,25,âng-chhâ,ang5tsha5,ang5chha5,angtsha,angchha,at,ac,True,False
âng-tsó,紅棗,25,âng-chó,ang5tso2,ang5cho2,angtso,angcho,at,ac,True,False
âng-tām,紅淡,25,âng-tām,ang5tam7,ang5tam7,angtam,angtam,at,at,True,False
âng-tsu,紅珠,25,âng-chu,ang5tsu1,ang5chu1,angtsu,angchu,at,ac,True,False
âng-phê,紅皮,25,âng-phê,ang5phe5,ang5phe5,angphe,angphe,ap,ap,True,False
