tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tānn-hīnn,耽耳,25,tāⁿ-hīⁿ,tann7hinn7,tann7hinn7,tannhinn,tannhinn
kíng-sóng,耿爽,25,kéng-sóng,king2song2,keng2song2,kingsong,kengsong
siànn-pue,聖桮,25,siàⁿ-poe,siann3pue1,siann3poe1,siannpue,siannpoe
sìng-sîn,聖神,25,sèng-sîn,sing3sin5,seng3sin5,singsin,sengsin
sìng-lîng,聖靈,25,sèng-lêng,sing3ling5,seng3leng5,singling,sengleng
tsū-tsiau,聚焦,25,chū-chiau,tsu7tsiau1,chu7chiau1,tsutsiau,chuchiau
àng-láng,聬儱,25,àng-láng,ang3lang2,ang3lang2,anglang,anglang
siann-tuà,聲帶,25,siaⁿ-tòa,siann1tua3,siann1toa3,sianntua,sianntoa
sing-tuà,聲帶,25,seng-tòa,sing1tua3,seng1toa3,singtua,sengtoa
siann-hāu,聲效,25,siaⁿ-hāu,siann1hau7,siann1hau7,siannhau,siannhau
siann-bóo,聲母,25,siaⁿ-bó͘,siann1boo2,siann1boo2,siannboo,siannboo
siann-kak,聲角,25,siaⁿ-kak,siann1kak1,siann1kak1,siannkak,siannkak
tshàng-mn̂g,聳毛,25,chhàng-mn̂g,tshang3mng5,chhang3mng5,tshangmng,chhangmng
tshàng-tshiu,聳鬚,25,chhàng-chhiu,tshang3tshiu1,chhang3chhiu1,tshangtshiu,chhangchhiu
tsit-pang,職棒,25,chit-pang,tsit1pang1,chit1pang1,tsitpang,chitpang
thiann-tuâ,聽帶,25,thiaⁿ-tôa,thiann1tua5,thiann1toa5,thianntua,thianntoa
thiann-ū,聽有,25,thiaⁿ-ū,thiann1u7,thiann1u7,thiannu,thiannu
thiann-bô,聽無,25,thiaⁿ-bô,thiann1bo5,thiann1bo5,thiannbo,thiannbo
thiann-tâng,聽筒,25,thiaⁿ-tâng,thiann1tang5,thiann1tang5,thianntang,thianntang
u̍t-tio̍h,聿著,25,u̍t-tio̍h,ut8tioh8,ut8tioh8,uttioh,uttioh
tiāu-sū,肇事,25,tiāu-sū,tiau7su7,tiau7su7,tiausu,tiausu
bah-uân,肉丸,25,bah-oân,bah1uan5,bah1oan5,bahuan,bahoan
bah-pau,肉包,25,bah-pau,bah1pau1,bah1pau1,bahpau,bahpau
bah-înn,肉圓,25,bah-îⁿ,bah1inn5,bah1inn5,bahinn,bahinn
bah-kńg,肉捲,25,bah-kńg,bah1kng2,bah1kng2,bahkng,bahkng
bah-tshah,肉插,25,bah-chhah,bah1tshah1,bah1chhah1,bahtshah,bahchhah
bah-tshiau,肉搜,25,bah-chhiau,bah1tshiau1,bah1chhiau1,bahtshiau,bahchhiau
bah-kap,肉敆,25,bah-kap,bah1kap1,bah1kap1,bahkap,bahkap
bah-sò,肉燥,25,bah-sò,bah1so3,bah1so3,bahso,bahso
bah-phìnn,肉片,25,bah-phìⁿ,bah1phinn3,bah1phinn3,bahphinn,bahphinn
bah-tiam,肉砧,25,bah-tiam,bah1tiam1,bah1tiam1,bahtiam,bahtiam
bah-kin,肉筋,25,bah-kin,bah1kin1,bah1kin1,bahkin,bahkin
bah-sún,肉筍,25,bah-sún,bah1sun2,bah1sun2,bahsun,bahsun
bah-khoo,肉箍,25,bah-kho͘,bah1khoo1,bah1khoo1,bahkhoo,bahkhoo
bah-tsìnn,肉糋,25,bah-chìⁿ,bah1tsinn3,bah1chinn3,bahtsinn,bahchinn
bah-kha,肉跤,25,bah-kha,bah1kha1,bah1kha1,bahkha,bahkha
hik-sin,肉身,25,hek-sin,hik1sin1,hek1sin1,hiksin,heksin
bah-tsiùnn,肉醬,25,bah-chiùⁿ,bah1tsiunn3,bah1chiunn3,bahtsiunn,bahchiunn
bah-piánn,肉餅,25,bah-piáⁿ,bah1piann2,bah1piann2,bahpiann,bahpiann
bah-ānn,肉餡,25,bah-āⁿ,bah1ann7,bah1ann7,bahann,bahann
bah-bâ,肉麻,25,bah-bâ,bah1ba5,bah1ba5,bahba,bahba
jio̍k-bâ,肉麻,25,jio̍k-bâ,jiok8ba5,jiok8ba5,jiokba,jiokba
lio̍k-bâ,肉麻,25,lio̍k-bâ,liok8ba5,liok8ba5,liokba,liokba
ki-kiàn,肌腱,25,ki-kiàn,ki1kian3,ki1kian3,kikian,kikian
tōo-hiunn,肚香,25,tō͘-hiuⁿ,too7hiunn1,too7hiunn1,toohiunn,toohiunn
kuann-liân,肝連,25,koaⁿ-liân,kuann1lian5,koann1lian5,kuannlian,koannlian
puî-thng,肥湯,25,pûi-thng,pui5thng1,pui5thng1,puithng,puithng
puî-mah,肥肉,25,pûi-mah,pui5mah1,pui5mah1,puimah,puimah
puî-niau,肥貓,25,pûi-niau,pui5niau1,pui5niau1,puiniau,puiniau
puî-nńg,肥軟,25,pûi-nńg,pui5nng2,pui5nng2,puinng,puinng
hàng-lin,肨奶,25,hàng-lin,hang3lin1,hang3lin1,hanglin,hanglin
hàng-ling,肨奶,25,hàng-leng,hang3ling1,hang3leng1,hangling,hangleng
