hanzi,tl
暗擊手,àm-kik-tshiú
暗擊銃,àm-kik-tshìng
諾羅病毒,Lo̍k-lô pēnn-to̍k
諾羅病毒,Lo̍k-lô pīnn-to̍k
內輪差,lāi-lián-tsha
搜索票,soo-sik-phiò
超級雷暴,tshiau-kip luî-pō
鎮暴銃,tìn-pō-tshìng
慢分,bān-hun
搖滾樂,iô-kún-ga̍k
自閉症,tsū-pì-tsìng
水流屍,tsuí-lâu-si
熱氣球,jia̍t-khì-kiû
熱氣球,lia̍t-khì-kiû
病尾,pēnn-bué
病尾,pēnn-bé
後遺症,āu-uî-tsìng
人蛇集團,lâng-tsuâ tsi̍p-thuân
斑芝花,pan-tsi-hue
木棉花,bo̍k-mî-hue
考古題,khó-kóo-tê
考古,khó-kóo
卵白質,nn̄g-pe̍h-tsit
bá-tah,bá-tah
khu-lì-mù,khu-lì-mù
芬多精,hun-to-tsing
痟狗病,siáu-káu-pēnn
痟狗病,siáu-káu-pīnn
痟鹿症,siáu-lo̍k-tsìng
痟牛症,siáu-gû-tsìng
街友,ke-iú
街友,kue-iú
吐血鯃,thòo-hueh-ngôo
吐血鯃,thòo-huih-ngôo
小抹香鯨,sió-buah-hiang-king
淋巴,lîm-pa
幹細胞,kàn-sè-pau
幹細胞,kàn-suè-pau
便利貼,piān-lī-tah
蝦皮,He-phî
迷客夏,Bê-kheh-hā
蒲燒,pôo-sio
番麥羹湯,huan-be̍h kenn-thng
番麥羹湯,huan-be̍h kinn-thng
徛琴,khiā-khîm
徛琴,hah-phuh
拋電龜,pha-tiān-ku
mài-khù,mài-khù
多巴胺,to-pa-an
伺服器,sù-ho̍k-khì
趨枋,tshu-pang
起泡片,khí-pho-phìnn
品勢,phín-sè
夜光粉,iā-kng-hún
妥瑞症,Thò-suī-tsìng
電子批,tiān-tsú-phue
電子批,tiān-tsú-phe
留話,lâu-uē
開講室,khai-káng-sik
頭頁,thâu-ia̍h
鋪文,phoo-bûn
捘卵,tsūn-nn̄g
椰果,iâ-kó
真珠奶茶,tsin-tsu-ling-tê
真珠奶茶,tsin-tsu-ni-tê
布丁,pòo-ting
俗麭𩛩,sio̍k-pháng-kauh
俗麭𩛩,sa̋n-tóo-it-tsih
俗麭,sio̍k-pháng
和肉佮,hām-bah-kah
美國割包,Bí-kok-kuah-pau
馬鈴薯條,má-lîng-tsî-tiâu
馬鈴薯條,má-lîng-tsû-tiâu
馬鈴薯餅,má-lîng-tsî-piánn
馬鈴薯餅,má-lîng-tsû-piánn
串仔卵餅,tshǹg-á nn̄g-piánn
檸檬紅茶,lê-bóng âng-tê
雞肉塊,ke-bah-tè
雞肉塊,kue-bah-tè
大杯冰奶茶,tuā-pue ping-ling-tê
手摵杯,tshiú-tshi̍k-pue
手摵茶,tshiú-tshi̍k-tê
食甲飽,tsia̍h-kah-pá
普洱茶,phóo-ní-tê
臭殕茶,tshàu-phú-tê
油鯃,iû-ngôo
虎鯨,hóo-king
子宮喙癌,tsú-kiong-tshuì-gâm
子宮頭癌,tsú-kiong-thâu-gâm
番麥枝,huan-be̍h-ki
顏智,Gân-tì
甘地,Kam-tī
手摵茶飲料店,tshiú-tshi̍k-tê ím-liāu-tiàm
紋斑,bûn-pan
櫻花鉤吻鮭,ing-hue-koo-bún-kui
蓄能設施,thiok-lîng siat-si
蓄電設施,thiok-tiān siat-si
相踏事件,sio-ta̍h sū-kiānn
斑腿青虳,pan-thuí tshenn-ioh
斑腿樹蛤仔,pan-thuí tshiū-kap-á
爵士樂,tsiok-sū-ga̍k
jazz樂,jiah-sū-ga̍k
蓮苞頭,liân-pau-thâu
siáu-uah,siáu-uah
跨欄,khuà-lân
生成式,sing-sîng-sik
滯洪池,tī-hông-tî
惡地,ok-tē
桌頂遊戲,toh-tíng iû-hì
桌遊,toh-iû
拗式手機,áu-sik tshiú-ki
拗式跤踏車,áu-sik kha-ta̍h-tshia
弄舌,lāng-tsi̍h
盤舌,puânn-tsi̍h
泛舟,huàn-tsiu
熨錫筆,ut-siah-pit
黏錫筆,liâm-siah-pit
僻智識,phiah-tì-sik
歕觱仔人,pûn-pi-á-lâng
bé-khòng,bé-khòng
馬卡龍,ma-khá-lóng
鱸魚,lôo-hî
鱸魚,lôo-hû
豆雞,tāu-ke
豆雞,tāu-kue
芳料,phang-liāu
烏胡椒,oo-hôo-tsio
大骨,tuā-kut
鐵卵,thih-nn̄g
雞跤,ke-kha
雞跤,kue-kha
雞胘,ke-kiān
雞胘,kue-kiān
大骨湯,tuā-kut-thng
牛腱子,gû kiàn-tsí
粉腸,hún-tshiâng
粉腸（仔）,hún-tn̂g(-á)
粉肝,hún-kuann
斷食,tn̄g-si̍t
酥油,soo-iû
肉桂,jio̍k-kuì
肉桂,lio̍k-kuì
桔仔,kiat-á
金棗,kim-tsó
棗仔,tsó-á
豆腐麵,tāu-hū-mī
煎餅,tsian-piánn
tshì-sù,tshì-sù
tshì-sìr,tshì-sìr
