tl,hanzi,frequency,poj
kiû,球,2784,kiû
tián,展,2778,tián
liāu,料,2775,liāu
kng,光,2761,kng
kè,計,2759,kè
thàn,趁,2759,thàn
kíng,景,2750,kéng
uānn,換,2747,ōaⁿ
tsha,差,2740,chha
piān,便,2736,piān
tsè,制,2722,chè
hōo,互,2721,hō͘
tóng,黨,2708,tóng
tsu,資,2706,chu
phiò,票,2693,phiò
kuat,決,2691,koat
kuài,怪,2686,koài
toh,桌,2677,toh
hia,遐,2677,hia
hiâ,遐,2677,hiâ
lióng,兩,2654,lióng
kuán,管,2652,koán
ián,演,2640,ián
phik,拍,2637,phek
huì,費,2631,hùi
tsi̍p,集,2628,chi̍p
sūn,順,2626,sūn
ho̍k,服,2625,ho̍k
thih,鐵,2613,thih
tik,德,2594,tek
kīn,近,2586,kīn
phuê,皮,2583,phôe
hōo,護,2583,hō͘
tán,等,2562,tán
tshíng,請,2562,chhéng
tshun,春,2561,chhun
uē,畫,2560,ōe
thàu,透,2543,thàu
kiōng,共,2539,kiōng
gōo,五,2521,gō͘
tiām,恬,2516,tiām
bān,慢,2514,bān
kong,功,2513,kong
tâu,投,2494,tâu
tshòng,創,2493,chhòng
tshenn,青,2489,chheⁿ
kam,甘,2482,kam
mi̍h,物,2476,mi̍h
siânn,城,2472,siâⁿ
giām,驗,2471,giām
póo,補,2470,pó͘
iông,容,2467,iông
koo,姑,2461,ko͘
hōo,雨,2449,hō͘
tshit,七,2425,chhit
jîn,仁,2425,jîn
lîn,仁,2425,lîn
tì,致,2414,tì
tsīn,盡,2410,chīn
kìnn,見,2409,kìⁿ
tsng,庄,2400,chng
thāi,待,2397,thāi
kàu,夠,2390,kàu
thè,退,2387,thè
tê,題,2380,tê
tsâi,財,2375,châi
piah,壁,2374,piah
hòng,放,2372,hòng
sī,視,2371,sī
tiānn,定,2370,tiāⁿ
tsit,質,2369,chit
mê,暝,2368,mê
tsiânn,成,2363,chiâⁿ
sé,洗,2363,sé
tsài,再,2362,chài
tsióng,種,2362,chióng
tsiáu,鳥,2362,chiáu
phīnn,鼻,2360,phīⁿ
uì,對,2354,ùi
thiàu,跳,2351,thiàu
io̍k,育,2344,io̍k
la̍t,力,2342,la̍t
huê,回,2342,hôe
hê,回,2342,hê
tiānn,碇,2331,tiāⁿ
tshiùnn,唱,2326,chhiùⁿ
lí,女,2326,lí
lú,女,2326,lú
piànn,拚,2326,piàⁿ
tsham,參,2323,chham
su̍t,術,2321,su̍t
sái,駛,2319,sái
kuann,肝,2310,koaⁿ
kho,科,2308,kho
kenn,經,2304,keⁿ
kinn,經,2304,kiⁿ
tshī,飼,2294,chhī
pan,班,2292,pan
uân,完,2285,oân
ne,呢,2279,ne
lâu,樓,2278,lâu
jia̍t,熱,2275,jia̍t
iá,野,2274,iá
kóo,鼓,2258,kó͘
sik,識,2256,sek
pênn,平,2251,pêⁿ
khuài,快,2251,khoài
kio̍k,局,2245,kio̍k
kok,各,2238,kok
tsí,姊,2236,chí
pô,婆,2236,pô
àn,案,2236,àn
líng,冷,2230,léng
luān,亂,2228,loān
hu,夫,2228,hu
jīm,任,2224,jīm
līm,任,2224,līm
lîng,靈,2220,lêng
kó,果,2217,kó
liân,聯,2216,liân
tshian,千,2213,chhian
huè,貨,2200,hòe
kî,奇,2197,kî
hueh,血,2188,hoeh
khò,課,2186,khò
tshiat,切,2183,chhiat
uî,圍,2174,ûi
tsuè,最,2169,chòe
lia̍p,粒,2160,lia̍p
tsìng,證,2160,chèng
gia̍h,額,2154,gia̍h
luē,內,2150,lōe
táu,斗,2150,táu
ìn,印,2149,ìn
ín,引,2143,ín
iû,由,2135,iû
tshì,試,2135,chhì
khak,殼,2134,khak
pit,筆,2127,pit
pak,腹,2127,pak
tsu,珠,2117,chu
kò,告,2113,kò
tsōo,助,2111,chō͘
tshâ,柴,2111,chhâ
ôo,湖,2109,ô͘
tsit,職,2101,chit
bē,賣,2101,bē
pó,寶,2099,pó
hun,婚,2097,hun
si̍t,食,2097,si̍t
n̂g,黃,2091,n̂g
tsīng,靜,2086,chēng
luī,類,2067,lūi
ngóo,五,2062,ngó͘
sing,先,2061,seng
ké,假,2047,ké
to,刀,2036,to
tôo,圖,2028,tô͘
keh,隔,2028,keh
kui,歸,2025,kui
hui,非,2018,hui
huè,歲,2007,hòe
huan,番,2005,hoan
tsí,指,2001,chí
ku,龜,2000,ku
nńg,軟,1998,nńg
buán,滿,1996,boán
pái,跛,1991,pái
ióng,勇,1985,ióng
bāng,望,1980,bāng
ok,惡,1971,ok
huah,喝,1968,hoah
tsù,注,1968,chù
huân,煩,1967,hoân
phok,博,1962,phok
la̍k,六,1960,la̍k
keh,格,1956,keh
thîng,停,1954,thêng
liû,留,1946,liû
kū,舊,1945,kū
iân,緣,1944,iân
lân,蘭,1941,lân
bāng,網,1939,bāng
kíng,境,1932,kéng
bé,買,1923,bé
khò,靠,1923,khò
tàu,鬥,1921,tàu
lí,李,1918,lí
bú,舞,1914,bú
ik,益,1911,ek
ting,燈,1910,teng
peh,伯,1908,peh
pang,幫,1908,pang
kik,激,1908,kek
bîn,眠,1906,bîn
sai,西,1902,sai
ki̍k,極,1899,ke̍k
lô,勞,1896,lô
tsè,濟,1885,chè
tuī,隊,1881,tūi
sioh,惜,1876,sioh
hī,耳,1870,hī
hīnn,耳,1870,hīⁿ
ki,枝,1864,ki
tsing,鐘,1863,cheng
phìnn,片,1860,phìⁿ
înn,圓,1855,îⁿ
thau,偷,1854,thau
giâm,嚴,1853,giâm
sun,孫,1853,sun
tshuē,揣,1852,chhōe
kiong,宮,1850,kiong
ko,哥,1841,ko
tì,智,1834,tì
hàu,孝,1833,hàu
gî,疑,1832,gî
kí,舉,1824,kí
tōo,肚,1823,tō͘
tsíng,整,1822,chéng
kuì,貴,1821,kùi
tàu,晝,1820,tàu
kuánn,趕,1819,kóaⁿ
huan,翻,1817,hoan
hāu,效,1816,hāu
tî,除,1812,tî
tī,弟,1808,tī
bo̍k,目,1808,bo̍k
tsha̍t,賊,1807,chha̍t
muí,每,1805,múi
tsì,志,1796,chì
khu,軀,1796,khu
pat,八,1787,pat
siòng,相,1786,siòng
iù,幼,1785,iù
hē,系,1781,hē
phài,派,1780,phài
tîn,陳,1773,tîn
mn̂g,毛,1768,mn̂g
tsoo,組,1767,cho͘
phuè,配,1767,phòe
thui,推,1766,thui
to̍k,毒,1764,to̍k
khoo,箍,1764,kho͘
hiunn,香,1757,hiuⁿ
hún,粉,1750,hún
uàn,怨,1749,oàn
kìng,敬,1749,kèng
līng,另,1745,lēng
kûn,群,1745,kûn
ping,兵,1742,peng
khiàm,欠,1738,khiàm
huān,犯,1738,hoān
kè,嫁,1737,kè
tshoo,初,1736,chho͘
ta̍h,踏,1736,ta̍h
phîng,評,1735,phêng
pán,版,1734,pán
gē,藝,1733,gē
ang,翁,1732,ang
hô,河,1729,hô
tiâu,牢,1721,tiâu
ke,加,1719,ke
tsū,住,1718,chū
sòo,素,1717,sò͘
lông,農,1711,lông
pian,編,1708,pian
thua,拖,1704,thoa
