hanzi,tl
文化,bûn-huà
月日,gue̍h-ji̍t/ge̍h-li̍t
歹天,pháinn-thinn
歹心,pháinn-sim
歹手爪,pháinn-tshiú-jiáu/pháinn-tshiú-niáu
文文仔笑,bûn-bûn-á-tshiò
天反地亂,thinn-huán-tē-luān/thinn-huán-tuē-luān
木心枋,bo̍k-sim-pang
日月蚶,ji̍t-gua̍t-ham/li̍t-gua̍t-ham
日月蟶,ji̍t-gua̍t-than/li̍t-gua̍t-than
反爿,píng-pîng
心火,sim-hué/sim-hé
手爪,tshiú-jiáu/tshiú-niáu
水牛,tsuí-gû
斗仔,táu-á
歹代,pháinn-tāi
水仙,tsuí-sian
支出,tsi-tshut
月半,gue̍h-puànn/ge̍h-puànn
月外日,gue̍h-guā-ji̍t/ge̍h-guā-li̍t
反正,huán-tsìng
太平,thài-pîng
文市,bûn-tshī
文旦,bûn-tàn
水母,tsuí-bó
反目,huán-bo̍k
手目,tshiú-ba̍k
木瓜,bo̍k-kue
欠用,khiàm-īng
毋甘,m̄-kam
水田,tsuí-tshân
太白星,Thài-pi̍k-tshenn/Thài-pi̍k-tshinn
太白粉,thài-pe̍h-hún
太白酒,thài-pe̍h-tsiú
毋甘嫌,m̄-kam hiâm
反白睚,píng-pe̍h-kâinn
毋甘願,m̄ kam-guān
天光,thinn-kng
文件,bûn-kiānn
月光暝,gue̍h-kng-mê/ge̍h-kng-mî
日光燈,ji̍t-kong-ting/li̍t-kong-ting
手印,tshiú-ìn
方向,hong-hiòng
木匠,ba̍k-tshiūnn
歹囝,pháinn-kiánn
天地,thinn-tē/thinn-tuē
少年,siàu-liân
文字,bûn-jī/bûn-lī
方式,hong-sik
欠安,khiàm-an
毋好,m̄ hó
水圳,tsuí-tsùn
歹年冬,pháinn-nî-tang
少年家,siàu-liân-ke
毋好勢,m̄ hó-sè
手曲,tshiú-khiau
歹死,pháinn-sí
毋成,m̄-tsiânn
毋成人,m̄-tsiânn-lâng
手扞仔,tshiú-huānn-á
毋成囝,m̄-tsiânn-kiánn
毋成物,m̄-tsiânn-mi̍h/m̄-tsiânn-mn̍gh
毋成猴,m̄-tsiânn-kâu
毋成樣,m̄-tsiânn-iūnn
天色,thinn-sik
心血,sim-hiat
心行,sim-hīng
月色,gue̍h-sik/ge̍h-sik
木耳,bo̍k-ní
欠血,khiàm-hueh/khiàm-huih
止血,tsí-hueh/tsí-huih
毋但,m̄-nā
毋免,m̄-bián
夫君,hu-kun
手尾,tshiú-bué/tshiú-bé
月尾,gue̍h-bué/ge̍h-bé
手尾力,tshiú-bué-la̍t/tshiú-bé-la̍t
毛尾仔,mn̂g-bué-á/mn̂g-bé-á
手尾錢,tshiú-bué-tsînn/tshiú-bé-tsînn
歹扭搦,pháinn-liú-la̍k
反抗,huán-khòng
夭折,iáu-tsiat
木材,bo̍k-tsâi
反肚,píng-tōo
心肝,sim-kuann
手肚,tshiú-tóo
水災,tsuí-tsai
心狂火著,sim-kông-hué-to̍h/sim-kông-hé-to̍h
心肝仔囝,sim-kuann-á-kiánn
反肚痧,píng-tōo-sua
心肝窟仔,sim-kuann-khut-á
歹育飼,pháinn-io-tshī
心肝頭,sim-kuann-thâu
化身,huà-sin
反車,píng-tshia
天良,thian-liông
文言,bûn-giân
文身,bûn-sin
方言,hong-giân
水車,tsuí-tshia
水芋仔,tsuí-ōo-á
心事,sim-sū
比並,pí-phīng
反來反去,píng-lâi-píng-khì
月來香,gue̍h-lâi-hiong/ge̍h-lâi-hiong
月初,gue̍h-tshe/ge̍h-tshue
歹命,pháinn-miā
毛呼,môo-honn
歹命人,pháinn-miā-lâng
太妹,thài-muē
夫妻,hu-tshe
手底,tshiú-té/tshiú-tué
文官,bûn-kuann
歹性地,pháinn-sìng-tē/pháinn-sìng-tuē
毋拄好,m̄-tú-hó
文明,bûn-bîng
水果,tsuí-kó
孔明車,khóng-bîng-tshia
方法,hong-huat
比武,pí-bú
歹物,pháinn-mi̍h/pháinn-mn̍gh
水疱,tsuí-phā
天狗熱,thian-káu-jia̍t/thian-káu-lia̍t
友的,iú--ê
太空,thài-khong
歹空,pháinn-khang
毋知,m̄ tsai
毋知人,m̄-tsai-lâng
毋知死,m̄-tsai-sí
毋知影,m̄ tsai-iánn
手股,tshiú-kóo
木蝨,ba̍k-sat
水門,tsuí-mn̂g
方便,hong-piān
太保,thài-pó
歹剃頭,pháinn-thì-thâu
日後,ji̍t-āu/li̍t-āu
手指,tshiú-tsí
支持,tsi-tshî
毋挃,m̄-ti̍h
毋是,m̄ sī
水拹仔,tsuí-hia̍p-á
毋是勢,m̄-sī-sè
手指頭仔,tshiú-tsíng-thâu-á
止枵,tsí-iau
手段,tshiú-tuānn
