hanzi,tl,frequency
竹仔箸,tik-á-tī,16
竹夫人,tik-hu-jîn,16
竹篾仔,tik-bi̍h-á,16
竹鋏仔,tik-giap-á,16
竹𥴊仔,tik-kám-á,16
筍屏仔,sún-pîn-á,16
籠鋪仔,láng-phoo-á,16
米釐尺,bí-lî-tshioh,16
粉線管,hún-suànn-kóng,16
糖篋仔,thn̂g-kheh-á,16
紅寶石,âng-pó-tsio̍h,16
紙膠帶,tsuá-ka-tuà,16
紙輪釘,tsuá-lián-ting,16
紙輪釘,tsuá-lián-tìng,16
紡布輪,pháng-pòo-lún,16
紡金檯,pháng-kim-tâi,16
索仔捲,soh-á-kńg,16
紫色的,tsí-sik-ê,16
結龍跤,kiat-lîng-kha,16
絲仔線,si-á-suànn,16
網仔甲,bāng-á-kah,16
練塗機,liān-thôo-ki,16
縛厝蓋,pa̍k-tshù-kuà,16
縛紙釘,pa̍k-tsuá-ting,16
繞銅線,liàu-tâng-suànn,16
繡花車,siù-hue-tshia,16
繡補店,siù-póo-tiàm,16
羊仔頭,iûnn-á-thâu,16
美工刀,bí-kang-to,16
耐火磚,nāi-hué-tsng,16
胭脂蟲,ian-tsi-thâng,16
腰帶花,io-tuà-hue,16
腱子肉,kiàn-tsí-bah,16
臥蠶眉,ngōo-tshám-bî,16
自動剾,tsū-tōng-khau,16
臺灣杉,tâi-uân-sam,16
舂龜仔,tsing-ku-á,16
花匙仔,hue-sî-á,16
花枱仔,hue-tâi-á,16
花盆仔,hue-phûn-á,16
花蕊紋,hue-luí-bûn,16
花鳥堵,hue-tsiáu-tóo,16
茶杯仔,tê-pue-á,16
茶疊仔,tê-thia̍p-á,16
茶籠仔,tê-láng-á,16
茶米甕,tê-bí-àng,16
茶罐仔,tê-kuàn-á,16
草仔箬,tshó-á-ha̍h,16
草仔花,tshó-á-hue,16
菜櫥仔,tshài-tû-á,16
蓮蕉盆,liân-tsio-phûn,16
蔥管鼻,tshang-kóng-phīnn,16
薄仔瓦,po̍h-á-hiā,16
薄胎的,po̍h-thai-ê,16
薰竹仔,hun-tik-á,16
藍寶石,nâ-pó-tsio̍h,16
虎爺衫,hóo-iâ-sann,16
蛋殼畫,nn̄g-khak-uē,16
蜘蛛紋,ti-tu-bûn,16
蝦仔盤,hê-á-puânn,16
螭虎窗,tshi-hóo-thang,16
螭虎緞,tshu-hóo-tuān,16
螭虎草,tshu-hóo-tshó,16
螭龍頭,tshi-liông-thâu,16
螺仔片,lê-á-phìnn,16
衫摺路,sann-tsih-lōo,16
袚繡線,phua̍h-siù-suànn,16
裝喙鬚,tsng-tshuì-tshiu,16
設計圖,siat-kè-tôo,16
設計稿,siat-kè-kó,16
試金石,tshì-kim-tsio̍h,16
豆油缸,tāu-iû-kng,16
豬跤楠,ti-kha-lâm,16
貼內裡,tah-lāi-lí,16
賊仔剾,tsha̍t-á-khau,16
起竹背,khí-tik-puè,16
跤踏仔,kha-ta̍h-á,16
跤踏風,kha-ta̍h-hong,16
車仔線,tshia-á-suànn,16
車工課,tshia-khang-khuè,16
車輪仔,tshia-lián-á,16
