tl,hanzi,frequency
tuā-hio̍h-tōo,大葉杜,16
tuā-hio̍h-lâm,大葉楠,16
tuā-phû-tô,大葡萄,16
tuā-thè-hông,大退癀,16
tuā-kim-ing,大金英,16
tuā-thâu-tê,大頭茶,16
tuā-thâu-tshang,大頭葱,16
tuā-hong-tsháu,大風草,16
tuā-hong-tîn,大風藤,16
tāi-hông-tsháu,大黃草,16
thian-lâm-sing,天南星,16
thian-bûn-tong,天門冬,16
kip-tik-thô,夾竹桃,16
ko-pô-ōo,姑婆芋,16
ui-lîng-sian,威靈仙,16
bēng-tsong-tik,孟宗竹,16
tīng-king-tsháu,定經草,16
gî-hoo-tuan,宜呼端,16
hu-kuì-tāu,富貴豆,16
sió-lé-hue,小禮花,16
sió-huan-hûn,小翻魂,16
sió-kim-ing,小金英,16
tsiam-bé-hong,尖尾峯,16
tsiam-bé-hong,尖尾風,16
bé-ia̍h-hue,尾蝶花,16
suann-siann-tsa,山仙查,16
suann-tshì-kue,山刺瓜,16
suann-sù-ing,山四英,16
suann-thôo-tāu,山土豆,16
suann-poo-kiunn,山埔姜,16
suann-poo-iâm,山埔鹽,16
suann-pòo-tsí,山布子,16
suann-tang-iū,山東柚,16
suann-gî-pê,山枇杷,16
suann-nâ-tâu,山林投,16
suann-kam-á,山柑仔,16
suann-iū-á,山柚仔,16
suann-kun-lîng,山根龍,16
suann-kuì-hue,山桂花,16
suann-suāinn-á,山檨仔,16
suann-pin-nn̂g,山檳榔,16
suann-eng-thô,山櫻桃,16
suann-tsuí-liú,山水柳,16
suann-ti̍k-lân,山澤蘭,16
suann-hun-tsháu,山煙草,16
suann-gû-lin,山牛乳,16
suann-ti-kê,山猪枷,16
suann-ti-bah,山猪肉,16
suann-ti-kuann,山猪肝,16
suann-kue-tshài,山瓜菜,16
suann-pe̍h-tshài,山白菜,16
suann-bé-tsî,山碼薯,16
suann-âng-be̍h,山紅麥,16
suann-sòo-ing,山素英,16
suann-tsí-soo,山紫蘇,16
suann-iûnn-sái,山羊屎,16
suann-iûnn-hī,山羊耳,16
suann-jio̍k-kuì,山肉桂,16
suann-bah-tāu,山肉豆,16
suann-ho-tsio,山胡椒,16
suann-tshàu-tsiunn,山臭樟,16
suann-king-tsio,山芎蕉,16
suann-phû-iông,山芙蓉,16
suann-kuà-tshài,山芥菜,16
suann-khóo-līng,山苦楝,16
suann-khóo-kue,山苦瓜,16
suann-tê-á,山茶仔,16
suann-hīng-tshài,山莕菜,16
suann-kuann-lân,山菅蘭,16
suann-tshài-tāu,山菜豆,16
suann-pe-lîng,山菠薐,16
suann-kuah-tshài,山葛菜,16
suann-phû-tô,山葡萄,16
suann-suàn-thâu,山蒜頭,16
suann-neh-kiau,山蕨猫,16
suann-io̍k-tsû,山藥薯,16
suann-ti-bah,山豬肉,16
suann-tsha̍t-á,山賊仔,16
suann-hiunn-înn,山香圓,16
suann-bé-tê,山馬茶,16
suann-bé-tê,山馬蹄,16
suann-tsiáu-tsiunn,山鳥樟,16
suann-iâm-tshinn,山鹽菁,16
suann-iâm-sng,山鹽酸,16
suann-n̂g-kinn,山黃梔,16
suann-iûnn-muâ,山黃麻,16
suann-gîng-gíng,山龍眼,16
pòo-pòo-oo,布布烏,16
pòo-kut-siau,布骨梢,16
sai-kong-giang,師公銒,16
siông-san-nî,常山尼,16
siông-san-tshiū,常山樹,16
bō-á-tún,帽仔盾,16
liân-siau-kam,年宵柑,16
