hanzi,tl,frequency
su-ìng-gù,su-ìng-gù,16
tshì-sìr餅,tshì-sìr-piánn,16
tshì-sù餅,tshì-sù-piánn,16
áu-khòo-sirh,áu-khòo-sirh,16
ín-khòo-sirh,ín-khòo-sirh,16
òo-tah單,òo-tah-tuann,16
一壘審,it-luí-sím,16
一壘手,it-luí-tshiú,16
一夜干,it-iā-kuann,16
三不等,sam-put-tíng,16
三分球,sann-hun-kiû,16
三壘審,sann-luí-sím,16
三壘手,sann-luí-tshiú,16
三日賽,sann-ji̍t-sài,16
三日賽,sann-li̍t-sài,16
三殺打,sam-sat-tánn,16
三角錐,sann-kak-tsui,16
三項賽,sann-hāng-sài,16
上壘率,tsiūnn-luí-lu̍t,16
上細化,siōng-suè-huà,16
上細化,siōng-sè-huà,16
下一步,ē-tsi̍t-pōo,16
下半場,ē-puànn-tiûnn,16
下目箍,ē-ba̍k-khoo,16
下目蚶,ē-ba̍k-ham,16
下頦線,ē-hâi-suànn,16
下頦角,ē-hâi-kak,16
下頦觳,ē-hâi-khok,16
不織布,put-tsit-pòo,16
中長跑,tiong-tn̂g-pháu,16
主動肌,tsú-tōng-ki,16
主機枋,tsú-ki-pang,16
九層炊,káu-tsàn-tshe,16
九層炊,káu-tsàn-tshue,16
九重粿,káu-tîng-kué,16
九重粿,káu-tîng-ké,16
二七仔,jī-tshit-á,16
二七仔,lī-tshit-á,16
二刀流,jī-to-liû,16
二壘審,jī-luí-sím,16
二壘審,lī-luí-sím,16
二壘手,jī-luí-tshiú,16
二壘手,lī-luí-tshiú,16
二進位,jī-tsìn-uī,16
二頭肌,jī-thâu-ki,16
二頭肌,lī-thâu-ki,16
仙人掌,sian-jîn-tsióng,16
仙人掌,sian-lîn-tsióng,16
伊斯蘭,i-su-lân,16
伺服器,sù-ho̍k-khì,16
住宅區,tsū-the̍h-khu,16
佛卡夏,hoo-khá-tshiah,16
便利貼,piān-lī-tah,16
俗麭𩛩,sio̍k-pháng-kauh,16
保庇跳,pó-pì-thiàu,16
保送率,pó-sàng-lu̍t,16
保養品,pó-ióng-phín,16
保鮮膜,pó-sian-mo̍oh,16
保齡球,pó-lîng-kiû,16
修容條,siu-iông-tiâu,16
修容霜,siu-iông-song,16
修眉刀,siu-bâi-to,16
個人賽,kò-jîn-sài,16
個人賽,kò-lîn-sài,16
倒徛騰,tò-khiā-thîng,16
倒線審,tò-suànn-sím,16
倖存者,hīng-tsûn-tsiá,16
倚身球,uá-sin-kiû,16
假khia̋n-sé,ké-khia̋n-sé,16
假動作,ké tōng-tsok,16
做散工,tsuè suánn-kang,16
做散工,tsò suánn-kang,16
健身房,kiān-sin pâng,16
側平夯,tshik-pênn-giâ,16
側平夯,tshik-pînn-giâ,16
側旋踢,tshik-suân-that,16
偷本壘,thau-pún-luí,16
傳播鍊,thuân-pò-liān,16
僻智識,phiah-tì-sik,16
儀表板,gî-pió-pán,16
優格奶,iu-keh-ling,16
充電柱,tshiong-tiān thiāu,16
克流感,khik-liû-kám,16
內角球,lāi-kak-kiû,16
內輪差,lāi-lián-tsha,16
內重巡,lāi-tîng-sûn,16
內野手,lāi-iá-tshiú,16
全壘打,tsuân-luí-tánn,16
冰風暴,ping-hong-pō,16
冷智識,líng-tì-sik,16
出場數,tshut-tiûnn-sòo,16
出手點,tshut-tshiú-tiám,16
出賽數,tshut-sài-sòo,16
分析師,hun-sik-su,16
分道喙,pun-tō-tshuì,16
切入,tshiat--ji̍p,16
切入,tshiat--li̍p,16
刪除線,san-tî-suànn,16
刪除線,san-tû-suànn,16
刺目眉,tshiah ba̍k-bâi,16
剪貼簿,tsián-tah-phōo,16
副領隊,hù-niá-tuī,16
副食品,hù-si̍t-phín,16
功能齒,kong-lîng-khí,16
加熱薰,ka-jia̍t-hun,16
加熱薰,ka-lia̍t-hun,16
助聽器,tsōo-thiann-khì,16
化妝台,huà-tsong-tâi,16
化妝棉,huà-tsong-mî,16
化妝水,huà-tsong-tsuí,16
化妝筅,huà-tsong-tshíng,16
化妝鏡,huà-tsong-kiànn,16
匿名者,li̍k-miâ-tsiá,16
十進位,tsa̍p-tsìn-uī,16
千島醬,tshian-tó-tsiùnn,16
升利息,sing-lī-sik,16
半熟卵,puànn-si̍k-nn̄g,16
半衰期,puàn-sue-kî,16
半衰期,puànn-sue-kî,16
協同肌,hia̍p-tông-ki,16
卡巴迪,kha-pá-tih,16
卵白霜,nn̄g-pe̍h-song,16
卸妝乳,sià-tsong-jú,16
卸妝水,sià-tsong-tsuí,16
卸妝油,sià-tsong-iû,16
